year,Casper (F),Casper (M)
1880,0.000000,0.000074
1881,0.000000,0.000078
1882,0.000000,0.000113
1883,0.000000,0.000074
1884,0.000000,0.000058
1885,0.000000,0.000091
1886,0.000000,0.000086
1887,0.000000,0.000044
1888,0.000000,0.000083
1889,0.000000,0.000097
1890,0.000000,0.000046
1891,0.000000,0.000070
1892,0.000000,0.000060
1893,0.000000,0.000049
1894,0.000000,0.000059
1895,0.000000,0.000040
1896,0.000000,0.000064
1897,0.000000,0.000049
1898,0.000000,0.000052
1899,0.000000,0.000047
1900,0.000000,0.000031
1901,0.000000,0.000032
1902,0.000000,0.000041
1903,0.000000,0.000018
1904,0.000000,0.000035
1905,0.000000,0.000038
1906,0.000000,0.000028
1907,0.000000,0.000045
1908,0.000000,0.000031
1909,0.000000,0.000035
1910,0.000000,0.000024
1911,0.000000,0.000037
1912,0.000000,0.000056
1913,0.000000,0.000050
1914,0.000000,0.000051
1915,0.000000,0.000059
1916,0.000000,0.000041
1917,0.000000,0.000053
1918,0.000000,0.000040
1919,0.000000,0.000054
1920,0.000000,0.000038
1921,0.000000,0.000034
1922,0.000000,0.000038
1923,0.000000,0.000040
1924,0.000000,0.000037
1925,0.000000,0.000034
1926,0.000000,0.000024
1927,0.000000,0.000033
1928,0.000000,0.000024
1929,0.000000,0.000030
1930,0.000000,0.000026
1931,0.000000,0.000023
1932,0.000000,0.000025
1933,0.000000,0.000021
1934,0.000000,0.000014
1935,0.000000,0.000019
1936,0.000000,0.000017
1937,0.000000,0.000018
1938,0.000000,0.000016
1939,0.000000,0.000018
1940,0.000000,0.000013
1941,0.000000,0.000014
1942,0.000000,0.000011
1943,0.000000,0.000012
1944,0.000000,0.000007
1945,0.000000,0.000010
1946,0.000000,0.000007
1947,0.000000,0.000007
1948,0.000000,0.000010
1949,0.000000,0.000007
1950,0.000000,0.000006
1951,0.000000,0.000008
1952,0.000000,0.000009
1953,0.000000,0.000005
1954,0.000000,0.000009
1955,0.000000,0.000004
1956,0.000000,0.000007
1957,0.000000,0.000005
1958,0.000000,0.000006
1959,0.000000,0.000006
1960,0.000000,0.000006
1961,0.000000,0.000006
1962,0.000000,0.000002
1963,0.000000,0.000004
1964,0.000000,0.000006
1965,0.000000,0.000005
1966,0.000000,0.000003
1967,0.000000,0.000002
1968,0.000000,0.000003
1969,0.000000,0.000003
1970,0.000000,0.000002
1971,0.000000,0.000003
1972,0.000000,0.000003
1973,0.000000,0.000003
1974,0.000000,0.000005
1975,0.000000,0.000004
1976,0.000000,0.000003
1977,0.000000,0.000002
1978,0.000000,0.000005
1979,0.000000,0.000006
1980,0.000000,0.000004
1981,0.000000,0.000005
1982,0.000000,0.000003
1983,0.000000,0.000004
1984,0.000000,0.000004
1985,0.000000,0.000005
1986,0.000000,0.000004
1987,0.000000,0.000004
1988,0.000000,0.000004
1989,0.000000,0.000004
1990,0.000000,0.000005
1991,0.000000,0.000005
1992,0.000000,0.000003
1993,0.000000,0.000004
1994,0.000000,0.000003
1995,0.000000,0.000004
1996,0.000000,0.000007
1997,0.000000,0.000009
1998,0.000000,0.000010
1999,0.000000,0.000008
2000,0.000000,0.000010
2001,0.000000,0.000009
2002,0.000000,0.000011
2003,0.000000,0.000013
2004,0.000000,0.000009
2005,0.000000,0.000011
2006,0.000000,0.000012
2007,0.000000,0.000013
2008,0.000000,0.000012
2009,0.000000,0.000010
2010,0.000000,0.000014
2011,0.000000,0.000015
2012,0.000000,0.000019
2013,0.000000,0.000025
