year,Carola
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,9
1895,5
1896,0
1897,5
1898,5
1899,5
1900,5
1901,0
1902,0
1903,0
1904,6
1905,5
1906,0
1907,5
1908,6
1909,7
1910,6
1911,6
1912,6
1913,13
1914,11
1915,12
1916,20
1917,12
1918,17
1919,5
1920,13
1921,13
1922,13
1923,15
1924,5
1925,12
1926,12
1927,11
1928,8
1929,0
1930,10
1931,8
1932,11
1933,9
1934,10
1935,18
1936,15
1937,13
1938,17
1939,9
1940,18
1941,12
1942,12
1943,12
1944,15
1945,27
1946,25
1947,15
1948,10
1949,12
1950,18
1951,25
1952,10
1953,19
1954,16
1955,18
1956,18
1957,16
1958,16
1959,12
1960,16
1961,29
1962,13
1963,17
1964,17
1965,12
1966,16
1967,9
1968,17
1969,11
1970,9
1971,12
1972,6
1973,8
1974,13
1975,6
1976,8
1977,5
1978,8
1979,7
1980,7
1981,7
1982,7
1983,5
1984,8
1985,5
1986,6
1987,5
1988,0
1989,0
1990,8
1991,6
1992,0
1993,0
1994,5
1995,8
1996,0
1997,0
1998,0
1999,6
2000,0
2001,0
2002,10
2003,0
2004,8
2005,8
2006,8
2007,8
2008,6
2009,0
2010,0
2011,7
2012,9
