year,Carson (F),Carson (M)
1880,0.000000,0.000045
1881,0.000000,0.000031
1882,0.000000,0.000063
1883,0.000000,0.000000
1884,0.000000,0.000053
1885,0.000000,0.000037
1886,0.000000,0.000031
1887,0.000000,0.000057
1888,0.000000,0.000030
1889,0.000000,0.000024
1890,0.000000,0.000027
1891,0.000000,0.000024
1892,0.000000,0.000036
1893,0.000000,0.000015
1894,0.000000,0.000035
1895,0.000000,0.000028
1896,0.000000,0.000022
1897,0.000000,0.000014
1898,0.000000,0.000042
1899,0.000000,0.000029
1900,0.000000,0.000036
1901,0.000000,0.000032
1902,0.000000,0.000044
1903,0.000000,0.000037
1904,0.000000,0.000025
1905,0.000000,0.000028
1906,0.000000,0.000030
1907,0.000000,0.000032
1908,0.000000,0.000025
1909,0.000000,0.000043
1910,0.000000,0.000041
1911,0.000000,0.000057
1912,0.000000,0.000046
1913,0.000000,0.000041
1914,0.000000,0.000068
1915,0.000000,0.000052
1916,0.000000,0.000058
1917,0.000000,0.000045
1918,0.000000,0.000047
1919,0.000000,0.000049
1920,0.000000,0.000044
1921,0.000000,0.000042
1922,0.000000,0.000052
1923,0.000000,0.000047
1924,0.000000,0.000055
1925,0.000000,0.000044
1926,0.000000,0.000049
1927,0.000000,0.000045
1928,0.000000,0.000045
1929,0.000000,0.000033
1930,0.000000,0.000047
1931,0.000000,0.000040
1932,0.000000,0.000053
1933,0.000000,0.000036
1934,0.000000,0.000040
1935,0.000000,0.000040
1936,0.000000,0.000043
1937,0.000000,0.000046
1938,0.000000,0.000039
1939,0.000000,0.000053
1940,0.000000,0.000046
1941,0.000000,0.000040
1942,0.000000,0.000042
1943,0.000000,0.000043
1944,0.000000,0.000026
1945,0.000000,0.000037
1946,0.000000,0.000041
1947,0.000003,0.000037
1948,0.000002,0.000034
1949,0.000001,0.000038
1950,0.000002,0.000034
1951,0.000002,0.000041
1952,0.000002,0.000032
1953,0.000003,0.000037
1954,0.000000,0.000034
1955,0.000000,0.000031
1956,0.000001,0.000027
1957,0.000000,0.000025
1958,0.000000,0.000024
1959,0.000001,0.000024
1960,0.000000,0.000021
1961,0.000000,0.000025
1962,0.000002,0.000021
1963,0.000000,0.000022
1964,0.000000,0.000022
1965,0.000000,0.000025
1966,0.000000,0.000023
1967,0.000000,0.000021
1968,0.000001,0.000026
1969,0.000003,0.000023
1970,0.000000,0.000029
1971,0.000002,0.000024
1972,0.000003,0.000033
1973,0.000004,0.000033
1974,0.000003,0.000034
1975,0.000007,0.000041
1976,0.000004,0.000046
1977,0.000004,0.000042
1978,0.000004,0.000043
1979,0.000005,0.000046
1980,0.000006,0.000045
1981,0.000008,0.000047
1982,0.000005,0.000054
1983,0.000004,0.000053
1984,0.000005,0.000063
1985,0.000007,0.000071
1986,0.000008,0.000071
1987,0.000006,0.000069
1988,0.000008,0.000077
1989,0.000009,0.000098
1990,0.000017,0.000119
1991,0.000033,0.000138
1992,0.000053,0.000173
1993,0.000050,0.000185
1994,0.000055,0.000224
1995,0.000056,0.000244
1996,0.000069,0.000277
1997,0.000069,0.000289
1998,0.000081,0.000400
1999,0.000121,0.000635
2000,0.000100,0.000857
2001,0.000094,0.001053
2002,0.000078,0.000963
2003,0.000074,0.001279
2004,0.000062,0.001147
2005,0.000056,0.001133
2006,0.000054,0.001267
2007,0.000050,0.001281
2008,0.000051,0.001305
2009,0.000049,0.001309
2010,0.000051,0.001380
2011,0.000049,0.001347
2012,0.000042,0.001257
2013,0.000042,0.001245
2014,0.000047,0.001248
2015,0.000048,0.001285
2016,0.000051,0.001344
2017,0.000054,0.001332
2018,0.000059,0.001496
2019,0.000048,0.001304
2020,0.000061,0.001260
