year,Criselda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,0
1921,0
1922,0
1923,6
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,7
1933,0
1934,0
1935,7
1936,0
1937,0
1938,11
1939,10
1940,10
1941,9
1942,7
1943,0
1944,5
1945,8
1946,0
1947,0
1948,15
1949,15
1950,15
1951,16
1952,11
1953,13
1954,18
1955,21
1956,22
1957,24
1958,29
1959,29
1960,26
1961,37
1962,20
1963,22
1964,27
1965,32
1966,38
1967,39
1968,50
1969,49
1970,48
1971,40
1972,52
1973,56
1974,60
1975,41
1976,54
1977,38
1978,49
1979,48
1980,35
1981,38
1982,41
1983,29
1984,30
1985,37
1986,23
1987,19
1988,23
1989,28
1990,28
1991,22
1992,13
1993,16
1994,19
1995,9
1996,10
1997,6
1998,10
1999,9
2000,12
2001,8
2002,6
2003,7
2004,7
2005,0
2006,0
2007,0
2008,10
2009,5
2010,5
2011,0
2012,0
