year,Cherish
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,11
1967,24
1968,28
1969,44
1970,40
1971,63
1972,85
1973,86
1974,132
1975,103
1976,93
1977,103
1978,84
1979,77
1980,63
1981,73
1982,96
1983,160
1984,210
1985,192
1986,263
1987,243
1988,200
1989,222
1990,184
1991,175
1992,168
1993,183
1994,143
1995,162
1996,156
1997,179
1998,155
1999,159
2000,181
2001,196
2002,188
2003,200
2004,231
2005,206
2006,368
2007,461
2008,404
2009,420
2010,368
2011,384
2012,358
