year,Casimir (F),Casimir (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000015
1895,0.000000,0.000017
1896,0.000000,0.000022
1897,0.000000,0.000014
1898,0.000000,0.000000
1899,0.000000,0.000021
1900,0.000000,0.000016
1901,0.000000,0.000020
1902,0.000000,0.000021
1903,0.000000,0.000016
1904,0.000000,0.000015
1905,0.000000,0.000028
1906,0.000000,0.000030
1907,0.000000,0.000026
1908,0.000000,0.000049
1909,0.000000,0.000031
1910,0.000000,0.000029
1911,0.000000,0.000045
1912,0.000000,0.000068
1913,0.000000,0.000084
1914,0.000000,0.000075
1915,0.000000,0.000097
1916,0.000000,0.000094
1917,0.000000,0.000102
1918,0.000000,0.000082
1919,0.000000,0.000104
1920,0.000000,0.000091
1921,0.000000,0.000081
1922,0.000000,0.000073
1923,0.000000,0.000066
1924,0.000000,0.000068
1925,0.000000,0.000053
1926,0.000000,0.000050
1927,0.000000,0.000045
1928,0.000000,0.000043
1929,0.000000,0.000040
1930,0.000000,0.000042
1931,0.000000,0.000034
1932,0.000000,0.000027
1933,0.000000,0.000037
1934,0.000000,0.000025
1935,0.000000,0.000022
1936,0.000000,0.000019
1937,0.000000,0.000020
1938,0.000000,0.000019
1939,0.000000,0.000014
1940,0.000000,0.000016
1941,0.000000,0.000013
1942,0.000000,0.000016
1943,0.000000,0.000013
1944,0.000000,0.000011
1945,0.000000,0.000014
1946,0.000000,0.000008
1947,0.000000,0.000006
1948,0.000000,0.000009
1949,0.000000,0.000008
1950,0.000000,0.000010
1951,0.000000,0.000008
1952,0.000000,0.000008
1953,0.000000,0.000009
1954,0.000000,0.000008
1955,0.000000,0.000006
1956,0.000000,0.000004
1957,0.000000,0.000004
1958,0.000000,0.000005
1959,0.000000,0.000003
1960,0.000000,0.000004
1961,0.000000,0.000004
1962,0.000000,0.000003
1963,0.000000,0.000004
1964,0.000000,0.000003
1965,0.000000,0.000004
1966,0.000000,0.000002
1967,0.000000,0.000003
1968,0.000000,0.000005
1969,0.000000,0.000003
1970,0.000000,0.000003
1971,0.000000,0.000003
1972,0.000000,0.000003
1973,0.000000,0.000003
1974,0.000000,0.000004
1975,0.000000,0.000002
1976,0.000000,0.000003
1977,0.000000,0.000004
1978,0.000000,0.000003
1979,0.000000,0.000003
1980,0.000000,0.000005
1981,0.000000,0.000004
1982,0.000000,0.000004
1983,0.000000,0.000003
1984,0.000000,0.000005
1985,0.000000,0.000004
1986,0.000000,0.000002
1987,0.000000,0.000003
1988,0.000000,0.000003
1989,0.000000,0.000004
1990,0.000000,0.000005
1991,0.000000,0.000002
1992,0.000000,0.000004
1993,0.000000,0.000003
1994,0.000000,0.000003
1995,0.000000,0.000003
1996,0.000000,0.000003
1997,0.000000,0.000005
1998,0.000000,0.000004
1999,0.000000,0.000004
2000,0.000000,0.000004
2001,0.000000,0.000003
2002,0.000000,0.000006
2003,0.000000,0.000004
2004,0.000000,0.000006
2005,0.000000,0.000006
2006,0.000000,0.000004
2007,0.000000,0.000006
2008,0.000000,0.000007
2009,0.000000,0.000006
2010,0.000000,0.000006
2011,0.000000,0.000006
2012,0.000000,0.000006
2013,0.000000,0.000010
2014,0.000000,0.000008
2015,0.000000,0.000009
2016,0.000000,0.000008
2017,0.000000,0.000007
2018,0.000000,0.000009
2019,0.000000,0.000008
2020,0.000000,0.000009
