year,Colby (F),Colby (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000004
1917,0.000000,0.000004
1918,0.000000,0.000003
1919,0.000000,0.000004
1920,0.000000,0.000006
1921,0.000000,0.000006
1922,0.000000,0.000003
1923,0.000000,0.000003
1924,0.000000,0.000004
1925,0.000000,0.000003
1926,0.000000,0.000003
1927,0.000000,0.000005
1928,0.000000,0.000004
1929,0.000000,0.000002
1930,0.000000,0.000004
1931,0.000000,0.000002
1932,0.000000,0.000002
1933,0.000000,0.000003
1934,0.000000,0.000003
1935,0.000000,0.000005
1936,0.000000,0.000003
1937,0.000000,0.000003
1938,0.000000,0.000005
1939,0.000000,0.000004
1940,0.000000,0.000003
1941,0.000000,0.000003
1942,0.000000,0.000003
1943,0.000000,0.000004
1944,0.000000,0.000006
1945,0.000000,0.000006
1946,0.000000,0.000003
1947,0.000000,0.000005
1948,0.000000,0.000007
1949,0.000000,0.000007
1950,0.000002,0.000004
1951,0.000000,0.000004
1952,0.000002,0.000007
1953,0.000002,0.000004
1954,0.000002,0.000005
1955,0.000003,0.000006
1956,0.000001,0.000007
1957,0.000001,0.000007
1958,0.000001,0.000005
1959,0.000001,0.000007
1960,0.000000,0.000008
1961,0.000000,0.000010
1962,0.000001,0.000006
1963,0.000002,0.000008
1964,0.000002,0.000007
1965,0.000002,0.000009
1966,0.000000,0.000011
1967,0.000000,0.000012
1968,0.000003,0.000022
1969,0.000003,0.000024
1970,0.000005,0.000039
1971,0.000006,0.000061
1972,0.000007,0.000067
1973,0.000009,0.000102
1974,0.000013,0.000109
1975,0.000014,0.000116
1976,0.000014,0.000105
1977,0.000013,0.000094
1978,0.000008,0.000091
1979,0.000009,0.000090
1980,0.000009,0.000076
1981,0.000005,0.000069
1982,0.000009,0.000141
1983,0.000024,0.000189
1984,0.000037,0.000217
1985,0.000041,0.000200
1986,0.000035,0.000251
1987,0.000038,0.000241
1988,0.000028,0.000249
1989,0.000027,0.000268
1990,0.000033,0.000286
1991,0.000032,0.000389
1992,0.000040,0.000410
1993,0.000036,0.000403
1994,0.000038,0.000390
1995,0.000030,0.000385
1996,0.000028,0.000369
1997,0.000025,0.000374
1998,0.000024,0.000396
1999,0.000037,0.000408
2000,0.000041,0.000388
2001,0.000032,0.001032
2002,0.000032,0.000835
2003,0.000022,0.000571
2004,0.000019,0.000541
2005,0.000014,0.000417
2006,0.000011,0.000321
2007,0.000017,0.000305
2008,0.000018,0.000320
2009,0.000019,0.000302
2010,0.000018,0.000327
2011,0.000016,0.000281
2012,0.000013,0.000248
