year,Cliff (F),Cliff (M)
1880,0.000000,0.000035
1881,0.000000,0.000026
1882,0.000000,0.000059
1883,0.000000,0.000046
1884,0.000000,0.000053
1885,0.000000,0.000058
1886,0.000000,0.000090
1887,0.000000,0.000069
1888,0.000000,0.000050
1889,0.000000,0.000052
1890,0.000000,0.000050
1891,0.000000,0.000042
1892,0.000000,0.000039
1893,0.000000,0.000052
1894,0.000000,0.000050
1895,0.000000,0.000060
1896,0.000000,0.000036
1897,0.000000,0.000046
1898,0.000000,0.000047
1899,0.000000,0.000044
1900,0.000000,0.000038
1901,0.000000,0.000043
1902,0.000000,0.000041
1903,0.000000,0.000050
1904,0.000000,0.000059
1905,0.000000,0.000054
1906,0.000000,0.000051
1907,0.000000,0.000039
1908,0.000000,0.000043
1909,0.000000,0.000037
1910,0.000000,0.000034
1911,0.000000,0.000033
1912,0.000000,0.000028
1913,0.000000,0.000014
1914,0.000000,0.000024
1915,0.000000,0.000032
1916,0.000000,0.000027
1917,0.000000,0.000020
1918,0.000000,0.000021
1919,0.000000,0.000020
1920,0.000000,0.000019
1921,0.000000,0.000020
1922,0.000000,0.000017
1923,0.000000,0.000021
1924,0.000000,0.000011
1925,0.000000,0.000016
1926,0.000000,0.000020
1927,0.000000,0.000017
1928,0.000000,0.000015
1929,0.000000,0.000020
1930,0.000000,0.000020
1931,0.000000,0.000022
1932,0.000000,0.000022
1933,0.000000,0.000022
1934,0.000000,0.000027
1935,0.000000,0.000028
1936,0.000000,0.000027
1937,0.000000,0.000030
1938,0.000000,0.000025
1939,0.000000,0.000032
1940,0.000000,0.000031
1941,0.000000,0.000029
1942,0.000000,0.000027
1943,0.000000,0.000026
1944,0.000000,0.000032
1945,0.000000,0.000037
1946,0.000000,0.000031
1947,0.000000,0.000039
1948,0.000000,0.000032
1949,0.000000,0.000025
1950,0.000000,0.000027
1951,0.000000,0.000018
1952,0.000000,0.000023
1953,0.000000,0.000024
1954,0.000000,0.000031
1955,0.000000,0.000037
1956,0.000000,0.000036
1957,0.000000,0.000059
1958,0.000000,0.000060
1959,0.000000,0.000074
1960,0.000000,0.000061
1961,0.000000,0.000067
1962,0.000000,0.000057
1963,0.000000,0.000066
1964,0.000000,0.000059
1965,0.000000,0.000048
1966,0.000000,0.000043
1967,0.000000,0.000038
1968,0.000000,0.000037
1969,0.000000,0.000042
1970,0.000000,0.000044
1971,0.000000,0.000038
1972,0.000000,0.000033
1973,0.000000,0.000036
1974,0.000000,0.000034
1975,0.000000,0.000026
1976,0.000000,0.000027
1977,0.000000,0.000028
1978,0.000000,0.000029
1979,0.000000,0.000035
1980,0.000000,0.000042
1981,0.000000,0.000042
1982,0.000000,0.000040
1983,0.000000,0.000039
1984,0.000000,0.000033
1985,0.000000,0.000030
1986,0.000000,0.000023
1987,0.000000,0.000018
1988,0.000000,0.000019
1989,0.000000,0.000019
1990,0.000000,0.000013
1991,0.000000,0.000014
1992,0.000000,0.000012
1993,0.000000,0.000006
1994,0.000000,0.000006
1995,0.000000,0.000007
1996,0.000000,0.000006
1997,0.000000,0.000008
1998,0.000000,0.000007
1999,0.000000,0.000006
2000,0.000000,0.000007
2001,0.000000,0.000005
2002,0.000000,0.000004
2003,0.000000,0.000004
2004,0.000000,0.000004
2005,0.000000,0.000004
2006,0.000000,0.000005
2007,0.000000,0.000005
2008,0.000000,0.000004
2009,0.000000,0.000003
2010,0.000000,0.000005
2011,0.000000,0.000005
2012,0.000000,0.000004
2013,0.000000,0.000004
