year,Carita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,5
1913,6
1914,0
1915,15
1916,6
1917,13
1918,9
1919,8
1920,10
1921,9
1922,10
1923,6
1924,8
1925,15
1926,10
1927,14
1928,18
1929,13
1930,18
1931,11
1932,14
1933,13
1934,8
1935,11
1936,11
1937,17
1938,9
1939,10
1940,10
1941,8
1942,0
1943,6
1944,12
1945,5
1946,10
1947,15
1948,9
1949,8
1950,16
1951,14
1952,17
1953,18
1954,10
1955,18
1956,17
1957,13
1958,25
1959,16
1960,19
1961,19
1962,11
1963,13
1964,16
1965,10
1966,8
1967,8
1968,18
1969,12
1970,17
1971,23
1972,33
1973,31
1974,18
1975,16
1976,31
1977,21
1978,19
1979,15
1980,17
1981,21
1982,14
1983,12
1984,11
1985,19
1986,12
1987,12
1988,9
1989,0
1990,8
1991,6
1992,0
1993,5
1994,8
1995,5
1996,0
1997,5
1998,0
1999,5
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
