year,Clemente
1880,6
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,8
1911,0
1912,10
1913,9
1914,10
1915,17
1916,21
1917,17
1918,16
1919,13
1920,20
1921,16
1922,25
1923,26
1924,35
1925,31
1926,25
1927,29
1928,35
1929,30
1930,24
1931,18
1932,25
1933,16
1934,29
1935,31
1936,22
1937,20
1938,20
1939,25
1940,20
1941,20
1942,30
1943,18
1944,17
1945,23
1946,37
1947,28
1948,41
1949,32
1950,25
1951,32
1952,28
1953,34
1954,35
1955,29
1956,26
1957,32
1958,41
1959,33
1960,34
1961,42
1962,37
1963,44
1964,35
1965,28
1966,36
1967,21
1968,25
1969,30
1970,28
1971,46
1972,39
1973,48
1974,50
1975,38
1976,48
1977,33
1978,29
1979,60
1980,49
1981,40
1982,32
1983,50
1984,48
1985,44
1986,28
1987,56
1988,31
1989,42
1990,48
1991,50
1992,53
1993,49
1994,41
1995,52
1996,60
1997,56
1998,45
1999,51
2000,60
2001,48
2002,36
2003,35
2004,58
2005,43
2006,44
2007,46
2008,46
2009,29
2010,34
2011,32
2012,29
