year,Chanelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,5
1964,10
1965,10
1966,8
1967,15
1968,12
1969,18
1970,25
1971,22
1972,38
1973,28
1974,30
1975,35
1976,48
1977,57
1978,64
1979,86
1980,97
1981,105
1982,93
1983,137
1984,140
1985,130
1986,141
1987,179
1988,186
1989,196
1990,206
1991,225
1992,194
1993,182
1994,148
1995,122
1996,116
1997,110
1998,102
1999,85
2000,97
2001,84
2002,80
2003,82
2004,76
2005,80
2006,92
2007,103
2008,92
2009,117
2010,89
2011,67
2012,112
