year,Claire (F),Claire (M)
1880,0.000104,0.000000
1881,0.000119,0.000000
1882,0.000135,0.000000
1883,0.000175,0.000000
1884,0.000136,0.000000
1885,0.000203,0.000033
1886,0.000239,0.000020
1887,0.000234,0.000000
1888,0.000244,0.000000
1889,0.000215,0.000000
1890,0.000239,0.000020
1891,0.000293,0.000000
1892,0.000257,0.000000
1893,0.000283,0.000015
1894,0.000283,0.000021
1895,0.000336,0.000000
1896,0.000297,0.000031
1897,0.000303,0.000023
1898,0.000349,0.000024
1899,0.000357,0.000032
1900,0.000346,0.000016
1901,0.000353,0.000014
1902,0.000403,0.000018
1903,0.000430,0.000029
1904,0.000404,0.000017
1905,0.000434,0.000045
1906,0.000497,0.000023
1907,0.000443,0.000041
1908,0.000481,0.000029
1909,0.000507,0.000020
1910,0.000464,0.000020
1911,0.000517,0.000022
1912,0.000445,0.000028
1913,0.000431,0.000032
1914,0.000403,0.000025
1915,0.000441,0.000028
1916,0.000433,0.000034
1917,0.000461,0.000031
1918,0.000494,0.000029
1919,0.000452,0.000021
1920,0.000450,0.000032
1921,0.000518,0.000030
1922,0.000585,0.000029
1923,0.000605,0.000033
1924,0.000665,0.000028
1925,0.000643,0.000028
1926,0.000730,0.000022
1927,0.000793,0.000028
1928,0.000767,0.000028
1929,0.000776,0.000027
1930,0.000744,0.000021
1931,0.000773,0.000031
1932,0.000714,0.000018
1933,0.000686,0.000019
1934,0.000630,0.000021
1935,0.000538,0.000019
1936,0.000521,0.000019
1937,0.000450,0.000017
1938,0.000486,0.000012
1939,0.000423,0.000011
1940,0.000413,0.000014
1941,0.000392,0.000012
1942,0.000376,0.000013
1943,0.000355,0.000009
1944,0.000375,0.000007
1945,0.000345,0.000008
1946,0.000349,0.000005
1947,0.000327,0.000006
1948,0.000297,0.000006
1949,0.000313,0.000005
1950,0.000297,0.000005
1951,0.000288,0.000006
1952,0.000284,0.000006
1953,0.000283,0.000004
1954,0.000259,0.000006
1955,0.000247,0.000002
1956,0.000239,0.000003
1957,0.000245,0.000003
1958,0.000232,0.000001
1959,0.000239,0.000003
1960,0.000216,0.000000
1961,0.000196,0.000000
1962,0.000200,0.000002
1963,0.000171,0.000000
1964,0.000156,0.000001
1965,0.000145,0.000000
1966,0.000144,0.000001
1967,0.000115,0.000000
1968,0.000105,0.000002
1969,0.000108,0.000002
1970,0.000096,0.000000
1971,0.000087,0.000000
1972,0.000088,0.000000
1973,0.000135,0.000002
1974,0.000120,0.000000
1975,0.000128,0.000003
1976,0.000124,0.000000
1977,0.000150,0.000000
1978,0.000151,0.000000
1979,0.000162,0.000000
1980,0.000165,0.000000
1981,0.000197,0.000000
1982,0.000232,0.000000
1983,0.000247,0.000000
1984,0.000280,0.000000
1985,0.000333,0.000001
1986,0.000367,0.000003
1987,0.000369,0.000003
1988,0.000391,0.000002
1989,0.000435,0.000005
1990,0.000468,0.000003
1991,0.000467,0.000002
1992,0.000508,0.000000
1993,0.000503,0.000001
1994,0.000585,0.000000
1995,0.000676,0.000000
1996,0.000751,0.000000
1997,0.000838,0.000000
1998,0.000991,0.000001
1999,0.001011,0.000000
2000,0.000982,0.000000
2001,0.000973,0.000000
2002,0.000911,0.000000
2003,0.000940,0.000000
2004,0.000873,0.000003
2005,0.000857,0.000002
2006,0.001016,0.000000
2007,0.001155,0.000002
2008,0.001172,0.000002
2009,0.001266,0.000002
2010,0.001333,0.000000
2011,0.001342,0.000000
2012,0.001357,0.000000
