year,Clinton (F),Clinton (M)
1880,0.000000,0.000392
1881,0.000000,0.000451
1882,0.000000,0.000357
1883,0.000000,0.000401
1884,0.000000,0.000415
1885,0.000000,0.000340
1886,0.000000,0.000333
1887,0.000000,0.000287
1888,0.000000,0.000337
1889,0.000000,0.000329
1890,0.000000,0.000299
1891,0.000000,0.000303
1892,0.000000,0.000251
1893,0.000000,0.000246
1894,0.000000,0.000236
1895,0.000000,0.000259
1896,0.000000,0.000260
1897,0.000000,0.000259
1898,0.000000,0.000241
1899,0.000000,0.000206
1900,0.000000,0.000202
1901,0.000000,0.000220
1902,0.000000,0.000238
1903,0.000000,0.000278
1904,0.000000,0.000270
1905,0.000000,0.000231
1906,0.000000,0.000233
1907,0.000000,0.000299
1908,0.000000,0.000287
1909,0.000000,0.000334
1910,0.000000,0.000274
1911,0.000000,0.000278
1912,0.000000,0.000366
1913,0.000000,0.000339
1914,0.000000,0.000400
1915,0.000000,0.000372
1916,0.000000,0.000342
1917,0.000000,0.000334
1918,0.000005,0.000378
1919,0.000003,0.000385
1920,0.000002,0.000402
1921,0.000000,0.000374
1922,0.000003,0.000400
1923,0.000003,0.000376
1924,0.000000,0.000349
1925,0.000003,0.000369
1926,0.000003,0.000367
1927,0.000003,0.000341
1928,0.000007,0.000349
1929,0.000005,0.000348
1930,0.000004,0.000312
1931,0.000003,0.000327
1932,0.000002,0.000332
1933,0.000000,0.000321
1934,0.000000,0.000309
1935,0.000000,0.000343
1936,0.000003,0.000314
1937,0.000000,0.000309
1938,0.000004,0.000297
1939,0.000002,0.000298
1940,0.000003,0.000275
1941,0.000000,0.000301
1942,0.000000,0.000270
1943,0.000000,0.000252
1944,0.000000,0.000257
1945,0.000000,0.000257
1946,0.000000,0.000252
1947,0.000002,0.000262
1948,0.000000,0.000248
1949,0.000000,0.000261
1950,0.000001,0.000237
1951,0.000001,0.000244
1952,0.000000,0.000231
1953,0.000000,0.000219
1954,0.000001,0.000198
1955,0.000000,0.000207
1956,0.000002,0.000233
1957,0.000002,0.000258
1958,0.000000,0.000260
1959,0.000001,0.000270
1960,0.000000,0.000264
1961,0.000000,0.000241
1962,0.000002,0.000227
1963,0.000000,0.000249
1964,0.000002,0.000262
1965,0.000000,0.000253
1966,0.000002,0.000237
1967,0.000002,0.000267
1968,0.000003,0.000333
1969,0.000002,0.000425
1970,0.000002,0.000443
1971,0.000002,0.000432
1972,0.000002,0.000473
1973,0.000003,0.000500
1974,0.000004,0.000509
1975,0.000004,0.000522
1976,0.000002,0.000547
1977,0.000003,0.000588
1978,0.000004,0.000556
1979,0.000003,0.000558
1980,0.000005,0.000628
1981,0.000005,0.000638
1982,0.000003,0.000594
1983,0.000003,0.000548
1984,0.000005,0.000531
1985,0.000002,0.000474
1986,0.000002,0.000430
1987,0.000005,0.000377
1988,0.000000,0.000378
1989,0.000001,0.000352
1990,0.000000,0.000379
1991,0.000000,0.000428
1992,0.000001,0.000382
1993,0.000000,0.000222
1994,0.000000,0.000158
1995,0.000000,0.000130
1996,0.000000,0.000108
1997,0.000000,0.000116
1998,0.000000,0.000088
1999,0.000000,0.000070
2000,0.000000,0.000077
2001,0.000000,0.000069
2002,0.000000,0.000066
2003,0.000000,0.000066
2004,0.000000,0.000068
2005,0.000000,0.000073
2006,0.000000,0.000061
2007,0.000000,0.000072
2008,0.000000,0.000063
2009,0.000000,0.000059
2010,0.000000,0.000053
2011,0.000000,0.000060
2012,0.000000,0.000062
