year,Connor (F),Connor (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000006
1914,0.000000,0.000000
1915,0.000000,0.000004
1916,0.000000,0.000003
1917,0.000000,0.000002
1918,0.000000,0.000000
1919,0.000000,0.000002
1920,0.000000,0.000004
1921,0.000000,0.000004
1922,0.000000,0.000003
1923,0.000000,0.000003
1924,0.000000,0.000004
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000003
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000002
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000003
1938,0.000000,0.000003
1939,0.000000,0.000002
1940,0.000000,0.000000
1941,0.000000,0.000002
1942,0.000000,0.000002
1943,0.000000,0.000002
1944,0.000000,0.000000
1945,0.000000,0.000002
1946,0.000000,0.000002
1947,0.000000,0.000001
1948,0.000000,0.000002
1949,0.000000,0.000003
1950,0.000000,0.000002
1951,0.000000,0.000002
1952,0.000000,0.000000
1953,0.000000,0.000001
1954,0.000000,0.000001
1955,0.000000,0.000002
1956,0.000000,0.000000
1957,0.000000,0.000002
1958,0.000000,0.000000
1959,0.000000,0.000000
1960,0.000000,0.000002
1961,0.000000,0.000001
1962,0.000000,0.000001
1963,0.000000,0.000001
1964,0.000000,0.000002
1965,0.000000,0.000002
1966,0.000000,0.000003
1967,0.000000,0.000003
1968,0.000000,0.000003
1969,0.000000,0.000005
1970,0.000000,0.000003
1971,0.000000,0.000005
1972,0.000000,0.000006
1973,0.000000,0.000002
1974,0.000000,0.000004
1975,0.000000,0.000006
1976,0.000000,0.000006
1977,0.000000,0.000009
1978,0.000000,0.000018
1979,0.000000,0.000019
1980,0.000002,0.000022
1981,0.000000,0.000027
1982,0.000000,0.000025
1983,0.000000,0.000040
1984,0.000000,0.000044
1985,0.000000,0.000049
1986,0.000001,0.000077
1987,0.000002,0.000161
1988,0.000002,0.000212
1989,0.000004,0.000243
1990,0.000002,0.000348
1991,0.000014,0.000632
1992,0.000035,0.001199
1993,0.000032,0.001712
1994,0.000035,0.001699
1995,0.000034,0.001807
1996,0.000035,0.001896
1997,0.000037,0.001971
1998,0.000025,0.002150
1999,0.000020,0.002058
2000,0.000017,0.001993
2001,0.000013,0.002161
2002,0.000012,0.002252
2003,0.000011,0.002546
2004,0.000018,0.002633
2005,0.000008,0.002427
2006,0.000008,0.002194
2007,0.000005,0.002085
2008,0.000004,0.001991
2009,0.000005,0.002124
2010,0.000004,0.002183
2011,0.000003,0.002030
2012,0.000004,0.001911
2013,0.000002,0.001956
