year,Ceola
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,5
1895,6
1896,0
1897,0
1898,9
1899,5
1900,13
1901,8
1902,9
1903,14
1904,10
1905,16
1906,21
1907,19
1908,15
1909,25
1910,25
1911,21
1912,38
1913,32
1914,35
1915,49
1916,65
1917,34
1918,50
1919,57
1920,40
1921,52
1922,65
1923,54
1924,75
1925,55
1926,53
1927,59
1928,56
1929,40
1930,49
1931,47
1932,53
1933,48
1934,49
1935,40
1936,46
1937,33
1938,40
1939,22
1940,24
1941,29
1942,30
1943,33
1944,23
1945,17
1946,41
1947,32
1948,26
1949,32
1950,24
1951,36
1952,21
1953,22
1954,10
1955,22
1956,18
1957,21
1958,17
1959,16
1960,25
1961,18
1962,9
1963,12
1964,9
1965,9
1966,6
1967,0
1968,0
1969,0
1970,0
1971,7
1972,0
1973,8
1974,0
1975,0
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,6
1985,0
1986,0
1987,9
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
