year,Chanell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,8
1962,6
1963,0
1964,11
1965,8
1966,5
1967,10
1968,16
1969,24
1970,25
1971,33
1972,37
1973,38
1974,32
1975,41
1976,45
1977,60
1978,52
1979,69
1980,69
1981,87
1982,83
1983,89
1984,94
1985,72
1986,92
1987,106
1988,112
1989,90
1990,110
1991,114
1992,102
1993,72
1994,60
1995,63
1996,63
1997,60
1998,49
1999,42
2000,47
2001,38
2002,37
2003,35
2004,36
2005,42
2006,42
2007,43
2008,36
2009,48
2010,35
2011,42
2012,28
