year,Cristie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,6
1946,0
1947,6
1948,13
1949,13
1950,7
1951,13
1952,19
1953,21
1954,23
1955,27
1956,34
1957,30
1958,34
1959,23
1960,29
1961,39
1962,39
1963,33
1964,37
1965,24
1966,32
1967,40
1968,63
1969,71
1970,63
1971,76
1972,71
1973,72
1974,107
1975,101
1976,111
1977,79
1978,86
1979,59
1980,53
1981,74
1982,55
1983,41
1984,45
1985,48
1986,40
1987,37
1988,43
1989,26
1990,20
1991,17
1992,19
1993,11
1994,15
1995,0
1996,11
1997,0
1998,8
1999,13
2000,8
2001,6
2002,6
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
