year,Corbett
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,23
1893,15
1894,20
1895,11
1896,10
1897,14
1898,8
1899,5
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,11
1912,7
1913,10
1914,16
1915,15
1916,18
1917,8
1918,13
1919,28
1920,32
1921,17
1922,25
1923,29
1924,25
1925,31
1926,22
1927,19
1928,24
1929,15
1930,15
1931,15
1932,11
1933,14
1934,14
1935,9
1936,23
1937,17
1938,21
1939,0
1940,15
1941,14
1942,19
1943,18
1944,19
1945,13
1946,20
1947,15
1948,24
1949,24
1950,15
1951,16
1952,20
1953,17
1954,14
1955,13
1956,12
1957,19
1958,17
1959,12
1960,15
1961,19
1962,12
1963,25
1964,13
1965,28
1966,22
1967,28
1968,18
1969,34
1970,45
1971,54
1972,44
1973,42
1974,37
1975,36
1976,33
1977,40
1978,36
1979,25
1980,18
1981,27
1982,13
1983,12
1984,17
1985,17
1986,25
1987,26
1988,22
1989,30
1990,30
1991,21
1992,20
1993,22
1994,21
1995,24
1996,22
1997,23
1998,30
1999,17
2000,21
2001,17
2002,21
2003,22
2004,22
2005,12
2006,19
2007,12
2008,20
2009,11
2010,10
2011,16
2012,25
