year,Corinthia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,6
1919,0
1920,0
1921,0
1922,5
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,5
1932,0
1933,0
1934,0
1935,5
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,10
1946,5
1947,7
1948,5
1949,11
1950,9
1951,10
1952,10
1953,13
1954,15
1955,0
1956,12
1957,9
1958,6
1959,13
1960,18
1961,15
1962,20
1963,17
1964,15
1965,15
1966,11
1967,15
1968,14
1969,8
1970,8
1971,18
1972,20
1973,20
1974,11
1975,29
1976,11
1977,14
1978,22
1979,23
1980,25
1981,13
1982,18
1983,14
1984,16
1985,24
1986,18
1987,20
1988,20
1989,24
1990,26
1991,29
1992,35
1993,25
1994,19
1995,21
1996,20
1997,18
1998,16
1999,19
2000,19
2001,11
2002,23
2003,12
2004,11
2005,10
2006,11
2007,17
2008,9
2009,9
2010,8
2011,11
2012,7
