year,Caryn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,6
1940,12
1941,13
1942,32
1943,24
1944,24
1945,27
1946,45
1947,74
1948,97
1949,153
1950,173
1951,181
1952,197
1953,189
1954,219
1955,206
1956,259
1957,255
1958,279
1959,308
1960,266
1961,312
1962,289
1963,294
1964,344
1965,492
1966,387
1967,274
1968,319
1969,373
1970,361
1971,369
1972,281
1973,295
1974,283
1975,269
1976,280
1977,311
1978,362
1979,259
1980,252
1981,234
1982,186
1983,155
1984,146
1985,154
1986,195
1987,196
1988,223
1989,133
1990,118
1991,121
1992,82
1993,80
1994,89
1995,58
1996,59
1997,56
1998,54
1999,32
2000,42
2001,34
2002,27
2003,34
2004,33
2005,33
2006,15
2007,18
2008,16
2009,14
2010,12
2011,18
2012,13
