year,Cruz (F),Cruz (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000027,0.000000
1891,0.000000,0.000000
1892,0.000018,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000014,0.000000
1896,0.000017,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000018,0.000000
1900,0.000013,0.000000
1901,0.000020,0.000000
1902,0.000026,0.000013
1903,0.000000,0.000013
1904,0.000022,0.000000
1905,0.000017,0.000028
1906,0.000026,0.000012
1907,0.000028,0.000021
1908,0.000018,0.000010
1909,0.000020,0.000000
1910,0.000029,0.000015
1911,0.000020,0.000025
1912,0.000017,0.000020
1913,0.000024,0.000014
1914,0.000022,0.000018
1915,0.000020,0.000021
1916,0.000012,0.000014
1917,0.000014,0.000019
1918,0.000022,0.000019
1919,0.000032,0.000031
1920,0.000025,0.000031
1921,0.000029,0.000025
1922,0.000021,0.000027
1923,0.000036,0.000031
1924,0.000022,0.000029
1925,0.000033,0.000036
1926,0.000023,0.000037
1927,0.000027,0.000032
1928,0.000032,0.000034
1929,0.000029,0.000037
1930,0.000027,0.000029
1931,0.000032,0.000033
1932,0.000020,0.000032
1933,0.000019,0.000032
1934,0.000023,0.000026
1935,0.000020,0.000034
1936,0.000030,0.000028
1937,0.000027,0.000028
1938,0.000024,0.000035
1939,0.000025,0.000032
1940,0.000023,0.000030
1941,0.000017,0.000023
1942,0.000017,0.000028
1943,0.000013,0.000026
1944,0.000015,0.000023
1945,0.000015,0.000022
1946,0.000017,0.000024
1947,0.000012,0.000022
1948,0.000015,0.000022
1949,0.000016,0.000029
1950,0.000013,0.000024
1951,0.000014,0.000023
1952,0.000009,0.000022
1953,0.000012,0.000021
1954,0.000010,0.000018
1955,0.000010,0.000019
1956,0.000013,0.000021
1957,0.000013,0.000019
1958,0.000013,0.000023
1959,0.000008,0.000020
1960,0.000011,0.000020
1961,0.000005,0.000020
1962,0.000008,0.000019
1963,0.000009,0.000018
1964,0.000009,0.000022
1965,0.000008,0.000018
1966,0.000009,0.000022
1967,0.000008,0.000017
1968,0.000008,0.000022
1969,0.000007,0.000025
1970,0.000009,0.000019
1971,0.000008,0.000018
1972,0.000010,0.000024
1973,0.000009,0.000023
1974,0.000009,0.000028
1975,0.000011,0.000024
1976,0.000009,0.000027
1977,0.000006,0.000026
1978,0.000007,0.000036
1979,0.000007,0.000023
1980,0.000009,0.000026
1981,0.000010,0.000026
1982,0.000009,0.000029
1983,0.000008,0.000027
1984,0.000009,0.000030
1985,0.000008,0.000034
1986,0.000005,0.000043
1987,0.000004,0.000047
1988,0.000006,0.000047
1989,0.000004,0.000054
1990,0.000005,0.000051
1991,0.000005,0.000048
1992,0.000007,0.000044
1993,0.000007,0.000048
1994,0.000006,0.000056
1995,0.000009,0.000062
1996,0.000006,0.000060
1997,0.000008,0.000063
1998,0.000010,0.000071
1999,0.000007,0.000066
2000,0.000005,0.000074
2001,0.000007,0.000089
2002,0.000009,0.000081
2003,0.000004,0.000095
2004,0.000007,0.000106
2005,0.000005,0.000124
2006,0.000005,0.000132
2007,0.000007,0.000168
2008,0.000007,0.000215
2009,0.000005,0.000237
2010,0.000006,0.000269
2011,0.000008,0.000301
2012,0.000009,0.000338
2013,0.000008,0.000345
