year,Cipriano
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,6
1911,5
1912,7
1913,5
1914,5
1915,8
1916,16
1917,12
1918,31
1919,18
1920,20
1921,22
1922,16
1923,23
1924,19
1925,21
1926,21
1927,29
1928,30
1929,23
1930,43
1931,22
1932,22
1933,20
1934,24
1935,23
1936,15
1937,12
1938,21
1939,19
1940,17
1941,15
1942,24
1943,20
1944,22
1945,22
1946,28
1947,25
1948,27
1949,27
1950,23
1951,30
1952,24
1953,33
1954,24
1955,16
1956,19
1957,17
1958,16
1959,21
1960,24
1961,20
1962,16
1963,22
1964,20
1965,20
1966,22
1967,15
1968,17
1969,16
1970,22
1971,32
1972,24
1973,17
1974,12
1975,29
1976,28
1977,24
1978,31
1979,25
1980,22
1981,29
1982,19
1983,20
1984,21
1985,21
1986,24
1987,18
1988,14
1989,16
1990,27
1991,25
1992,22
1993,18
1994,21
1995,15
1996,20
1997,18
1998,9
1999,10
2000,24
2001,22
2002,17
2003,27
2004,12
2005,10
2006,22
2007,12
2008,23
2009,15
2010,22
2011,10
2012,13
