year,Cornell (F),Cornell (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000020
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000013
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000014
1906,0.000000,0.000000
1907,0.000000,0.000015
1908,0.000000,0.000018
1909,0.000000,0.000020
1910,0.000000,0.000024
1911,0.000000,0.000019
1912,0.000000,0.000023
1913,0.000000,0.000021
1914,0.000000,0.000021
1915,0.000006,0.000018
1916,0.000003,0.000019
1917,0.000004,0.000024
1918,0.000005,0.000017
1919,0.000005,0.000026
1920,0.000003,0.000014
1921,0.000004,0.000018
1922,0.000006,0.000022
1923,0.000003,0.000022
1924,0.000004,0.000016
1925,0.000004,0.000021
1926,0.000004,0.000019
1927,0.000004,0.000022
1928,0.000004,0.000020
1929,0.000000,0.000018
1930,0.000000,0.000020
1931,0.000005,0.000027
1932,0.000004,0.000024
1933,0.000004,0.000030
1934,0.000000,0.000026
1935,0.000004,0.000022
1936,0.000003,0.000023
1937,0.000003,0.000024
1938,0.000002,0.000026
1939,0.000000,0.000024
1940,0.000002,0.000022
1941,0.000000,0.000018
1942,0.000003,0.000023
1943,0.000002,0.000018
1944,0.000003,0.000024
1945,0.000003,0.000027
1946,0.000000,0.000041
1947,0.000002,0.000044
1948,0.000001,0.000056
1949,0.000002,0.000051
1950,0.000001,0.000046
1951,0.000000,0.000052
1952,0.000004,0.000056
1953,0.000001,0.000054
1954,0.000001,0.000051
1955,0.000002,0.000055
1956,0.000001,0.000048
1957,0.000002,0.000054
1958,0.000002,0.000047
1959,0.000001,0.000046
1960,0.000001,0.000035
1961,0.000002,0.000041
1962,0.000001,0.000060
1963,0.000002,0.000041
1964,0.000002,0.000052
1965,0.000000,0.000045
1966,0.000001,0.000051
1967,0.000000,0.000051
1968,0.000001,0.000050
1969,0.000000,0.000050
1970,0.000000,0.000054
1971,0.000002,0.000051
1972,0.000000,0.000047
1973,0.000002,0.000050
1974,0.000000,0.000051
1975,0.000000,0.000045
1976,0.000000,0.000044
1977,0.000000,0.000049
1978,0.000000,0.000042
1979,0.000000,0.000041
1980,0.000000,0.000041
1981,0.000000,0.000035
1982,0.000000,0.000034
1983,0.000000,0.000036
1984,0.000000,0.000032
1985,0.000000,0.000038
1986,0.000000,0.000042
1987,0.000000,0.000040
1988,0.000000,0.000038
1989,0.000000,0.000037
1990,0.000000,0.000030
1991,0.000000,0.000029
1992,0.000000,0.000023
1993,0.000000,0.000030
1994,0.000000,0.000026
1995,0.000000,0.000021
1996,0.000000,0.000032
1997,0.000000,0.000021
1998,0.000000,0.000023
1999,0.000000,0.000017
2000,0.000000,0.000018
2001,0.000000,0.000016
2002,0.000000,0.000018
2003,0.000000,0.000022
2004,0.000000,0.000019
2005,0.000000,0.000018
2006,0.000000,0.000021
2007,0.000000,0.000022
2008,0.000000,0.000023
2009,0.000000,0.000023
2010,0.000000,0.000021
2011,0.000000,0.000015
2012,0.000000,0.000020
