year,Claribel
1880,0
1881,8
1882,6
1883,5
1884,9
1885,7
1886,0
1887,0
1888,6
1889,10
1890,8
1891,13
1892,6
1893,20
1894,14
1895,10
1896,13
1897,8
1898,16
1899,18
1900,14
1901,16
1902,14
1903,14
1904,16
1905,12
1906,15
1907,23
1908,24
1909,23
1910,11
1911,15
1912,30
1913,37
1914,39
1915,41
1916,52
1917,56
1918,48
1919,38
1920,41
1921,51
1922,43
1923,35
1924,45
1925,27
1926,32
1927,44
1928,27
1929,26
1930,22
1931,20
1932,19
1933,12
1934,14
1935,11
1936,9
1937,10
1938,8
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,5
1956,6
1957,5
1958,0
1959,11
1960,12
1961,6
1962,19
1963,12
1964,14
1965,18
1966,16
1967,22
1968,17
1969,19
1970,30
1971,26
1972,19
1973,31
1974,20
1975,35
1976,24
1977,35
1978,28
1979,21
1980,22
1981,23
1982,25
1983,19
1984,117
1985,61
1986,50
1987,47
1988,48
1989,39
1990,48
1991,43
1992,71
1993,48
1994,56
1995,45
1996,32
1997,40
1998,25
1999,19
2000,27
2001,27
2002,15
2003,17
2004,18
2005,12
2006,23
2007,12
2008,18
2009,23
2010,11
2011,19
2012,14
