year,Charmian
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,0
1916,10
1917,11
1918,12
1919,6
1920,7
1921,8
1922,9
1923,14
1924,10
1925,12
1926,6
1927,9
1928,10
1929,8
1930,5
1931,0
1932,7
1933,0
1934,6
1935,0
1936,0
1937,7
1938,7
1939,0
1940,5
1941,6
1942,5
1943,5
1944,9
1945,11
1946,9
1947,9
1948,6
1949,8
1950,11
1951,0
1952,14
1953,0
1954,6
1955,5
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,5
1964,0
1965,0
1966,5
1967,13
1968,10
1969,9
1970,18
1971,10
1972,15
1973,11
1974,12
1975,8
1976,11
1977,8
1978,0
1979,13
1980,6
1981,5
1982,12
1983,15
1984,0
1985,0
1986,8
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
