year,Chari
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,10
1943,5
1944,7
1945,9
1946,12
1947,12
1948,7
1949,8
1950,16
1951,21
1952,27
1953,16
1954,18
1955,31
1956,24
1957,24
1958,30
1959,17
1960,41
1961,25
1962,37
1963,25
1964,35
1965,38
1966,27
1967,30
1968,28
1969,29
1970,34
1971,38
1972,24
1973,25
1974,20
1975,25
1976,17
1977,21
1978,11
1979,25
1980,20
1981,13
1982,33
1983,19
1984,30
1985,31
1986,27
1987,18
1988,15
1989,10
1990,17
1991,8
1992,16
1993,10
1994,11
1995,8
1996,8
1997,0
1998,0
1999,0
2000,5
2001,5
2002,6
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
