year,Christ (F),Christ (M)
1880,0.000000,0.000074
1881,0.000000,0.000109
1882,0.000000,0.000104
1883,0.000000,0.000078
1884,0.000000,0.000062
1885,0.000000,0.000095
1886,0.000000,0.000063
1887,0.000000,0.000057
1888,0.000000,0.000057
1889,0.000000,0.000069
1890,0.000000,0.000066
1891,0.000000,0.000066
1892,0.000000,0.000060
1893,0.000000,0.000043
1894,0.000000,0.000071
1895,0.000000,0.000048
1896,0.000000,0.000025
1897,0.000000,0.000049
1898,0.000000,0.000034
1899,0.000000,0.000027
1900,0.000000,0.000024
1901,0.000000,0.000029
1902,0.000000,0.000031
1903,0.000000,0.000031
1904,0.000000,0.000017
1905,0.000000,0.000014
1906,0.000000,0.000028
1907,0.000000,0.000028
1908,0.000000,0.000012
1909,0.000000,0.000020
1910,0.000000,0.000015
1911,0.000000,0.000017
1912,0.000000,0.000023
1913,0.000000,0.000023
1914,0.000000,0.000020
1915,0.000000,0.000021
1916,0.000000,0.000021
1917,0.000000,0.000030
1918,0.000000,0.000027
1919,0.000000,0.000024
1920,0.000000,0.000021
1921,0.000000,0.000020
1922,0.000000,0.000027
1923,0.000000,0.000030
1924,0.000000,0.000024
1925,0.000000,0.000028
1926,0.000000,0.000021
1927,0.000000,0.000024
1928,0.000000,0.000030
1929,0.000000,0.000022
1930,0.000000,0.000023
1931,0.000000,0.000022
1932,0.000000,0.000014
1933,0.000000,0.000011
1934,0.000000,0.000017
1935,0.000000,0.000020
1936,0.000000,0.000012
1937,0.000000,0.000016
1938,0.000000,0.000012
1939,0.000000,0.000013
1940,0.000000,0.000009
1941,0.000000,0.000009
1942,0.000000,0.000009
1943,0.000000,0.000006
1944,0.000000,0.000007
1945,0.000000,0.000007
1946,0.000000,0.000005
1947,0.000000,0.000007
1948,0.000000,0.000007
1949,0.000000,0.000007
1950,0.000000,0.000006
1951,0.000000,0.000005
1952,0.000000,0.000009
1953,0.000000,0.000008
1954,0.000000,0.000008
1955,0.000000,0.000005
1956,0.000000,0.000006
1957,0.000000,0.000005
1958,0.000001,0.000006
1959,0.000000,0.000008
1960,0.000000,0.000007
1961,0.000000,0.000008
1962,0.000000,0.000007
1963,0.000000,0.000009
1964,0.000001,0.000009
1965,0.000002,0.000010
1966,0.000000,0.000005
1967,0.000000,0.000009
1968,0.000000,0.000005
1969,0.000000,0.000007
1970,0.000000,0.000007
1971,0.000001,0.000007
1972,0.000002,0.000010
1973,0.000002,0.000010
1974,0.000000,0.000009
1975,0.000000,0.000007
1976,0.000002,0.000008
1977,0.000000,0.000008
1978,0.000002,0.000006
1979,0.000000,0.000008
1980,0.000000,0.000006
1981,0.000000,0.000005
1982,0.000001,0.000007
1983,0.000000,0.000006
1984,0.000000,0.000005
1985,0.000000,0.000006
1986,0.000000,0.000003
1987,0.000000,0.000007
1988,0.000000,0.000004
1989,0.000000,0.000007
1990,0.000000,0.000005
1991,0.000000,0.000003
1992,0.000000,0.000007
1993,0.000000,0.000006
1994,0.000000,0.000004
1995,0.000000,0.000008
1996,0.000000,0.000007
1997,0.000000,0.000006
1998,0.000000,0.000007
1999,0.000000,0.000006
2000,0.000000,0.000009
2001,0.000000,0.000009
2002,0.000000,0.000009
2003,0.000000,0.000009
2004,0.000000,0.000008
2005,0.000000,0.000008
2006,0.000000,0.000009
2007,0.000000,0.000010
2008,0.000000,0.000010
2009,0.000000,0.000010
2010,0.000000,0.000008
2011,0.000000,0.000013
2012,0.000000,0.000008
