year,Clay (F),Clay (M)
1880,0.000000,0.000089
1881,0.000000,0.000125
1882,0.000000,0.000077
1883,0.000000,0.000115
1884,0.000000,0.000131
1885,0.000000,0.000075
1886,0.000000,0.000110
1887,0.000000,0.000093
1888,0.000000,0.000104
1889,0.000000,0.000100
1890,0.000000,0.000106
1891,0.000021,0.000038
1892,0.000000,0.000069
1893,0.000000,0.000101
1894,0.000000,0.000124
1895,0.000000,0.000094
1896,0.000000,0.000084
1897,0.000000,0.000072
1898,0.000000,0.000105
1899,0.000000,0.000068
1900,0.000000,0.000091
1901,0.000000,0.000061
1902,0.000000,0.000085
1903,0.000000,0.000071
1904,0.000000,0.000079
1905,0.000000,0.000080
1906,0.000000,0.000084
1907,0.000000,0.000067
1908,0.000000,0.000068
1909,0.000000,0.000068
1910,0.000000,0.000047
1911,0.000000,0.000081
1912,0.000005,0.000076
1913,0.000000,0.000078
1914,0.000000,0.000076
1915,0.000004,0.000072
1916,0.000003,0.000069
1917,0.000003,0.000062
1918,0.000000,0.000067
1919,0.000000,0.000061
1920,0.000004,0.000065
1921,0.000003,0.000069
1922,0.000002,0.000083
1923,0.000005,0.000058
1924,0.000003,0.000063
1925,0.000000,0.000062
1926,0.000003,0.000057
1927,0.000004,0.000067
1928,0.000000,0.000060
1929,0.000000,0.000049
1930,0.000003,0.000058
1931,0.000000,0.000056
1932,0.000000,0.000058
1933,0.000005,0.000058
1934,0.000000,0.000056
1935,0.000000,0.000053
1936,0.000003,0.000060
1937,0.000003,0.000055
1938,0.000005,0.000051
1939,0.000004,0.000055
1940,0.000000,0.000056
1941,0.000002,0.000044
1942,0.000005,0.000045
1943,0.000004,0.000044
1944,0.000002,0.000041
1945,0.000000,0.000037
1946,0.000000,0.000036
1947,0.000000,0.000040
1948,0.000000,0.000049
1949,0.000000,0.000051
1950,0.000002,0.000052
1951,0.000000,0.000061
1952,0.000002,0.000071
1953,0.000000,0.000069
1954,0.000002,0.000085
1955,0.000001,0.000106
1956,0.000000,0.000118
1957,0.000003,0.000141
1958,0.000002,0.000174
1959,0.000000,0.000200
1960,0.000002,0.000218
1961,0.000000,0.000217
1962,0.000000,0.000175
1963,0.000000,0.000165
1964,0.000000,0.000148
1965,0.000000,0.000121
1966,0.000001,0.000104
1967,0.000000,0.000107
1968,0.000000,0.000115
1969,0.000000,0.000124
1970,0.000001,0.000127
1971,0.000000,0.000151
1972,0.000000,0.000140
1973,0.000002,0.000157
1974,0.000000,0.000138
1975,0.000000,0.000150
1976,0.000000,0.000143
1977,0.000000,0.000133
1978,0.000003,0.000116
1979,0.000000,0.000104
1980,0.000002,0.000102
1981,0.000000,0.000096
1982,0.000000,0.000098
1983,0.000000,0.000108
1984,0.000000,0.000110
1985,0.000000,0.000117
1986,0.000000,0.000115
1987,0.000000,0.000129
1988,0.000000,0.000132
1989,0.000000,0.000117
1990,0.000000,0.000125
1991,0.000000,0.000119
1992,0.000000,0.000113
1993,0.000000,0.000131
1994,0.000000,0.000185
1995,0.000000,0.000195
1996,0.000000,0.000178
1997,0.000000,0.000177
1998,0.000002,0.000169
1999,0.000000,0.000163
2000,0.000000,0.000170
2001,0.000000,0.000153
2002,0.000000,0.000160
2003,0.000000,0.000137
2004,0.000001,0.000100
2005,0.000000,0.000086
2006,0.000000,0.000078
2007,0.000000,0.000070
2008,0.000000,0.000064
2009,0.000000,0.000056
2010,0.000000,0.000074
2011,0.000000,0.000086
2012,0.000000,0.000088
2013,0.000000,0.000088
