year,Carleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,5
1910,0
1911,0
1912,7
1913,8
1914,6
1915,13
1916,13
1917,25
1918,16
1919,23
1920,12
1921,22
1922,9
1923,16
1924,34
1925,30
1926,36
1927,38
1928,47
1929,50
1930,46
1931,28
1932,63
1933,67
1934,66
1935,80
1936,60
1937,74
1938,70
1939,83
1940,103
1941,89
1942,97
1943,98
1944,76
1945,92
1946,100
1947,113
1948,123
1949,163
1950,141
1951,131
1952,137
1953,166
1954,159
1955,165
1956,135
1957,152
1958,152
1959,159
1960,140
1961,168
1962,161
1963,136
1964,116
1965,121
1966,105
1967,125
1968,131
1969,127
1970,120
1971,98
1972,92
1973,70
1974,76
1975,65
1976,65
1977,55
1978,63
1979,50
1980,50
1981,44
1982,47
1983,57
1984,50
1985,36
1986,30
1987,44
1988,36
1989,43
1990,38
1991,47
1992,54
1993,46
1994,49
1995,35
1996,30
1997,37
1998,15
1999,19
2000,35
2001,22
2002,18
2003,21
2004,13
2005,10
2006,5
2007,15
2008,9
2009,9
2010,11
2011,11
2012,5
