year,Crawford (F),Crawford (M)
1880,0.000000,0.000040
1881,0.000000,0.000062
1882,0.000000,0.000068
1883,0.000000,0.000046
1884,0.000000,0.000041
1885,0.000000,0.000033
1886,0.000000,0.000059
1887,0.000000,0.000057
1888,0.000000,0.000037
1889,0.000000,0.000038
1890,0.000000,0.000000
1891,0.000000,0.000056
1892,0.000000,0.000039
1893,0.000000,0.000037
1894,0.000000,0.000032
1895,0.000000,0.000031
1896,0.000000,0.000056
1897,0.000000,0.000035
1898,0.000000,0.000037
1899,0.000000,0.000027
1900,0.000000,0.000051
1901,0.000000,0.000040
1902,0.000000,0.000028
1903,0.000000,0.000021
1904,0.000000,0.000037
1905,0.000000,0.000047
1906,0.000000,0.000030
1907,0.000000,0.000026
1908,0.000000,0.000039
1909,0.000000,0.000023
1910,0.000000,0.000034
1911,0.000000,0.000040
1912,0.000000,0.000036
1913,0.000000,0.000037
1914,0.000000,0.000035
1915,0.000000,0.000036
1916,0.000000,0.000034
1917,0.000000,0.000042
1918,0.000000,0.000038
1919,0.000000,0.000037
1920,0.000000,0.000027
1921,0.000000,0.000033
1922,0.000000,0.000030
1923,0.000000,0.000028
1924,0.000000,0.000037
1925,0.000000,0.000027
1926,0.000000,0.000024
1927,0.000000,0.000023
1928,0.000000,0.000022
1929,0.000000,0.000029
1930,0.000000,0.000033
1931,0.000000,0.000028
1932,0.000000,0.000023
1933,0.000000,0.000028
1934,0.000000,0.000020
1935,0.000000,0.000020
1936,0.000000,0.000017
1937,0.000000,0.000018
1938,0.000000,0.000015
1939,0.000000,0.000016
1940,0.000000,0.000023
1941,0.000000,0.000019
1942,0.000000,0.000016
1943,0.000000,0.000012
1944,0.000000,0.000018
1945,0.000000,0.000014
1946,0.000000,0.000011
1947,0.000000,0.000011
1948,0.000000,0.000013
1949,0.000000,0.000014
1950,0.000000,0.000016
1951,0.000000,0.000015
1952,0.000000,0.000011
1953,0.000000,0.000008
1954,0.000000,0.000014
1955,0.000000,0.000009
1956,0.000000,0.000008
1957,0.000000,0.000008
1958,0.000000,0.000010
1959,0.000000,0.000006
1960,0.000000,0.000008
1961,0.000000,0.000008
1962,0.000000,0.000009
1963,0.000000,0.000008
1964,0.000000,0.000005
1965,0.000000,0.000007
1966,0.000000,0.000008
1967,0.000000,0.000006
1968,0.000000,0.000005
1969,0.000000,0.000005
1970,0.000000,0.000004
1971,0.000000,0.000005
1972,0.000000,0.000004
1973,0.000000,0.000007
1974,0.000000,0.000005
1975,0.000000,0.000005
1976,0.000000,0.000004
1977,0.000000,0.000004
1978,0.000000,0.000003
1979,0.000000,0.000004
1980,0.000000,0.000004
1981,0.000000,0.000005
1982,0.000000,0.000004
1983,0.000000,0.000004
1984,0.000000,0.000006
1985,0.000000,0.000003
1986,0.000000,0.000004
1987,0.000000,0.000005
1988,0.000000,0.000003
1989,0.000000,0.000005
1990,0.000000,0.000005
1991,0.000000,0.000003
1992,0.000000,0.000004
1993,0.000000,0.000004
1994,0.000000,0.000004
1995,0.000000,0.000003
1996,0.000000,0.000007
1997,0.000000,0.000006
1998,0.000000,0.000005
1999,0.000000,0.000008
2000,0.000000,0.000005
2001,0.000000,0.000005
2002,0.000000,0.000003
2003,0.000000,0.000007
2004,0.000000,0.000008
2005,0.000000,0.000005
2006,0.000000,0.000005
2007,0.000000,0.000007
2008,0.000000,0.000008
2009,0.000000,0.000006
2010,0.000000,0.000008
2011,0.000000,0.000009
2012,0.000002,0.000011
2013,0.000000,0.000010
2014,0.000002,0.000016
2015,0.000002,0.000017
2016,0.000000,0.000016
2017,0.000000,0.000014
2018,0.000000,0.000020
2019,0.000000,0.000020
2020,0.000000,0.000018
