year,Clifton (F),Clifton (M)
1880,0.000000,0.000189
1881,0.000000,0.000202
1882,0.000000,0.000230
1883,0.000000,0.000120
1884,0.000000,0.000164
1885,0.000000,0.000224
1886,0.000000,0.000164
1887,0.000000,0.000174
1888,0.000000,0.000214
1889,0.000000,0.000204
1890,0.000000,0.000189
1891,0.000000,0.000279
1892,0.000000,0.000203
1893,0.000000,0.000231
1894,0.000000,0.000275
1895,0.000000,0.000262
1896,0.000000,0.000266
1897,0.000000,0.000225
1898,0.000000,0.000218
1899,0.000000,0.000277
1900,0.000000,0.000240
1901,0.000000,0.000292
1902,0.000000,0.000290
1903,0.000000,0.000289
1904,0.000000,0.000285
1905,0.000000,0.000285
1906,0.000000,0.000245
1907,0.000000,0.000271
1908,0.000010,0.000293
1909,0.000000,0.000307
1910,0.000010,0.000301
1911,0.000008,0.000320
1912,0.000000,0.000409
1913,0.000009,0.000437
1914,0.000006,0.000435
1915,0.000004,0.000447
1916,0.000003,0.000399
1917,0.000006,0.000395
1918,0.000005,0.000430
1919,0.000004,0.000419
1920,0.000005,0.000402
1921,0.000003,0.000399
1922,0.000005,0.000387
1923,0.000004,0.000391
1924,0.000003,0.000356
1925,0.000000,0.000382
1926,0.000003,0.000385
1927,0.000004,0.000396
1928,0.000003,0.000345
1929,0.000005,0.000356
1930,0.000002,0.000340
1931,0.000003,0.000331
1932,0.000003,0.000350
1933,0.000004,0.000366
1934,0.000002,0.000321
1935,0.000000,0.000311
1936,0.000003,0.000307
1937,0.000000,0.000313
1938,0.000000,0.000293
1939,0.000000,0.000301
1940,0.000003,0.000278
1941,0.000000,0.000277
1942,0.000004,0.000290
1943,0.000002,0.000304
1944,0.000002,0.000284
1945,0.000003,0.000272
1946,0.000002,0.000252
1947,0.000002,0.000268
1948,0.000000,0.000273
1949,0.000000,0.000282
1950,0.000000,0.000292
1951,0.000000,0.000259
1952,0.000000,0.000247
1953,0.000000,0.000249
1954,0.000000,0.000261
1955,0.000001,0.000242
1956,0.000000,0.000243
1957,0.000000,0.000251
1958,0.000001,0.000242
1959,0.000002,0.000223
1960,0.000001,0.000209
1961,0.000001,0.000211
1962,0.000000,0.000212
1963,0.000002,0.000200
1964,0.000002,0.000215
1965,0.000000,0.000189
1966,0.000001,0.000200
1967,0.000002,0.000196
1968,0.000000,0.000203
1969,0.000003,0.000192
1970,0.000004,0.000187
1971,0.000002,0.000187
1972,0.000002,0.000198
1973,0.000000,0.000184
1974,0.000003,0.000247
1975,0.000003,0.000402
1976,0.000004,0.000287
1977,0.000003,0.000260
1978,0.000002,0.000273
1979,0.000003,0.000236
1980,0.000000,0.000233
1981,0.000002,0.000228
1982,0.000000,0.000204
1983,0.000002,0.000177
1984,0.000002,0.000185
1985,0.000002,0.000181
1986,0.000000,0.000171
1987,0.000001,0.000153
1988,0.000002,0.000140
1989,0.000000,0.000132
1990,0.000000,0.000111
1991,0.000000,0.000106
1992,0.000000,0.000092
1993,0.000000,0.000083
1994,0.000000,0.000072
1995,0.000000,0.000068
1996,0.000000,0.000064
1997,0.000000,0.000061
1998,0.000000,0.000065
1999,0.000000,0.000058
2000,0.000000,0.000061
2001,0.000000,0.000054
2002,0.000000,0.000044
2003,0.000000,0.000045
2004,0.000000,0.000042
2005,0.000000,0.000041
2006,0.000000,0.000037
2007,0.000000,0.000039
2008,0.000000,0.000033
2009,0.000000,0.000034
2010,0.000000,0.000029
2011,0.000000,0.000031
2012,0.000000,0.000035
