year,Carolin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,7
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,8
1922,5
1923,0
1924,6
1925,5
1926,0
1927,0
1928,5
1929,0
1930,0
1931,6
1932,0
1933,9
1934,8
1935,6
1936,13
1937,13
1938,13
1939,13
1940,22
1941,31
1942,39
1943,26
1944,25
1945,27
1946,31
1947,30
1948,31
1949,29
1950,28
1951,28
1952,19
1953,24
1954,24
1955,12
1956,24
1957,15
1958,9
1959,14
1960,23
1961,15
1962,14
1963,9
1964,18
1965,16
1966,19
1967,17
1968,12
1969,10
1970,13
1971,5
1972,7
1973,8
1974,9
1975,8
1976,11
1977,7
1978,11
1979,9
1980,8
1981,7
1982,10
1983,8
1984,16
1985,6
1986,15
1987,11
1988,11
1989,12
1990,14
1991,0
1992,11
1993,14
1994,16
1995,10
1996,14
1997,9
1998,13
1999,9
2000,18
2001,14
2002,14
2003,11
2004,20
2005,9
2006,8
2007,12
2008,9
2009,11
2010,9
2011,5
2012,0
