year,Christena
1880,13
1881,11
1882,14
1883,9
1884,11
1885,23
1886,26
1887,22
1888,18
1889,20
1890,24
1891,18
1892,22
1893,23
1894,21
1895,17
1896,21
1897,13
1898,22
1899,19
1900,18
1901,10
1902,15
1903,20
1904,18
1905,13
1906,14
1907,10
1908,12
1909,14
1910,17
1911,11
1912,19
1913,30
1914,14
1915,33
1916,33
1917,37
1918,40
1919,44
1920,35
1921,26
1922,35
1923,41
1924,18
1925,23
1926,25
1927,27
1928,27
1929,17
1930,28
1931,28
1932,21
1933,9
1934,12
1935,14
1936,9
1937,17
1938,14
1939,23
1940,11
1941,20
1942,19
1943,21
1944,18
1945,15
1946,24
1947,24
1948,26
1949,31
1950,29
1951,20
1952,25
1953,21
1954,26
1955,21
1956,16
1957,15
1958,23
1959,16
1960,18
1961,26
1962,20
1963,14
1964,28
1965,22
1966,24
1967,23
1968,23
1969,29
1970,26
1971,39
1972,27
1973,32
1974,28
1975,50
1976,27
1977,36
1978,39
1979,26
1980,36
1981,37
1982,32
1983,41
1984,40
1985,29
1986,30
1987,33
1988,32
1989,26
1990,30
1991,22
1992,24
1993,18
1994,22
1995,17
1996,10
1997,13
1998,13
1999,8
2000,7
2001,7
2002,12
2003,7
2004,14
2005,11
2006,7
2007,5
2008,9
2009,0
2010,6
2011,5
2012,5
