year,Cherise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,5
1949,7
1950,10
1951,14
1952,10
1953,14
1954,16
1955,14
1956,19
1957,9
1958,18
1959,41
1960,33
1961,49
1962,58
1963,63
1964,73
1965,62
1966,93
1967,109
1968,89
1969,139
1970,147
1971,151
1972,122
1973,121
1974,118
1975,121
1976,122
1977,102
1978,119
1979,138
1980,119
1981,135
1982,125
1983,117
1984,147
1985,147
1986,131
1987,126
1988,132
1989,140
1990,127
1991,102
1992,105
1993,99
1994,57
1995,53
1996,55
1997,36
1998,32
1999,23
2000,22
2001,28
2002,29
2003,18
2004,26
2005,19
2006,18
2007,8
2008,10
2009,17
2010,8
2011,10
2012,11
