year,Christeen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,7
1903,5
1904,7
1905,0
1906,8
1907,10
1908,11
1909,8
1910,14
1911,16
1912,16
1913,17
1914,31
1915,37
1916,53
1917,41
1918,48
1919,59
1920,50
1921,55
1922,59
1923,68
1924,58
1925,62
1926,67
1927,65
1928,77
1929,61
1930,58
1931,42
1932,46
1933,50
1934,49
1935,40
1936,32
1937,28
1938,42
1939,32
1940,39
1941,28
1942,34
1943,32
1944,27
1945,41
1946,29
1947,27
1948,30
1949,39
1950,35
1951,30
1952,33
1953,43
1954,22
1955,29
1956,16
1957,11
1958,12
1959,20
1960,17
1961,19
1962,17
1963,17
1964,27
1965,21
1966,22
1967,19
1968,20
1969,16
1970,31
1971,22
1972,19
1973,20
1974,26
1975,17
1976,24
1977,19
1978,12
1979,14
1980,9
1981,21
1982,16
1983,16
1984,8
1985,12
1986,14
1987,12
1988,10
1989,16
1990,11
1991,20
1992,8
1993,6
1994,16
1995,5
1996,5
1997,8
1998,6
1999,0
2000,6
2001,0
2002,0
2003,6
2004,7
2005,9
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
