year,Charlene (F),Charlene (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000017,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000018,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000020,0.000000
1896,0.000025,0.000000
1897,0.000000,0.000000
1898,0.000031,0.000000
1899,0.000018,0.000000
1900,0.000013,0.000000
1901,0.000017,0.000000
1902,0.000021,0.000000
1903,0.000016,0.000000
1904,0.000032,0.000000
1905,0.000031,0.000000
1906,0.000026,0.000000
1907,0.000041,0.000000
1908,0.000059,0.000000
1909,0.000055,0.000000
1910,0.000054,0.000000
1911,0.000062,0.000000
1912,0.000062,0.000000
1913,0.000066,0.000000
1914,0.000063,0.000000
1915,0.000073,0.000000
1916,0.000087,0.000000
1917,0.000101,0.000000
1918,0.000114,0.000000
1919,0.000110,0.000000
1920,0.000130,0.000000
1921,0.000136,0.000000
1922,0.000145,0.000000
1923,0.000169,0.000000
1924,0.000189,0.000000
1925,0.000252,0.000000
1926,0.000253,0.000000
1927,0.000359,0.000000
1928,0.000378,0.000000
1929,0.000425,0.000000
1930,0.000444,0.000000
1931,0.000479,0.000000
1932,0.000531,0.000000
1933,0.000587,0.000003
1934,0.000647,0.000004
1935,0.000668,0.000005
1936,0.000713,0.000004
1937,0.000742,0.000005
1938,0.000756,0.000002
1939,0.000774,0.000003
1940,0.000732,0.000003
1941,0.000846,0.000004
1942,0.000849,0.000002
1943,0.000834,0.000003
1944,0.000905,0.000004
1945,0.000900,0.000004
1946,0.000950,0.000004
1947,0.000965,0.000000
1948,0.001010,0.000000
1949,0.001016,0.000002
1950,0.000984,0.000000
1951,0.000934,0.000002
1952,0.000934,0.000003
1953,0.000909,0.000002
1954,0.000814,0.000001
1955,0.000822,0.000003
1956,0.000795,0.000002
1957,0.000750,0.000003
1958,0.000742,0.000001
1959,0.000660,0.000002
1960,0.000697,0.000003
1961,0.000683,0.000002
1962,0.000635,0.000003
1963,0.000690,0.000003
1964,0.000721,0.000004
1965,0.000715,0.000003
1966,0.000629,0.000003
1967,0.000612,0.000002
1968,0.000576,0.000000
1969,0.000575,0.000002
1970,0.000550,0.000002
1971,0.000505,0.000002
1972,0.000465,0.000002
1973,0.000400,0.000002
1974,0.000352,0.000002
1975,0.000355,0.000000
1976,0.000356,0.000002
1977,0.000336,0.000002
1978,0.000295,0.000002
1979,0.000281,0.000000
1980,0.000311,0.000000
1981,0.000290,0.000000
1982,0.000302,0.000001
1983,0.000277,0.000000
1984,0.000268,0.000002
1985,0.000253,0.000000
1986,0.000221,0.000003
1987,0.000223,0.000000
1988,0.000191,0.000002
1989,0.000184,0.000000
1990,0.000167,0.000001
1991,0.000136,0.000000
1992,0.000123,0.000000
1993,0.000113,0.000000
1994,0.000109,0.000000
1995,0.000084,0.000000
1996,0.000080,0.000000
1997,0.000085,0.000000
1998,0.000068,0.000000
1999,0.000056,0.000000
2000,0.000051,0.000000
2001,0.000045,0.000000
2002,0.000045,0.000000
2003,0.000043,0.000000
2004,0.000053,0.000000
2005,0.000046,0.000000
2006,0.000048,0.000000
2007,0.000046,0.000000
2008,0.000039,0.000000
2009,0.000037,0.000000
2010,0.000037,0.000000
2011,0.000036,0.000000
2012,0.000037,0.000000
2013,0.000032,0.000000
2014,0.000043,0.000000
2015,0.000040,0.000000
2016,0.000040,0.000000
2017,0.000043,0.000000
2018,0.000032,0.000000
2019,0.000032,0.000000
2020,0.000036,0.000000
