year,Clarise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,8
1911,6
1912,0
1913,7
1914,7
1915,12
1916,9
1917,14
1918,16
1919,12
1920,12
1921,19
1922,17
1923,18
1924,21
1925,15
1926,10
1927,14
1928,14
1929,17
1930,16
1931,16
1932,12
1933,14
1934,9
1935,12
1936,14
1937,9
1938,7
1939,8
1940,10
1941,11
1942,16
1943,10
1944,11
1945,9
1946,14
1947,17
1948,14
1949,6
1950,20
1951,11
1952,15
1953,19
1954,16
1955,19
1956,21
1957,14
1958,16
1959,13
1960,14
1961,17
1962,12
1963,14
1964,17
1965,19
1966,10
1967,17
1968,7
1969,10
1970,6
1971,5
1972,6
1973,5
1974,8
1975,9
1976,9
1977,6
1978,7
1979,8
1980,9
1981,9
1982,8
1983,7
1984,9
1985,9
1986,5
1987,6
1988,0
1989,7
1990,8
1991,10
1992,11
1993,6
1994,10
1995,13
1996,13
1997,0
1998,11
1999,12
2000,15
2001,18
2002,10
2003,8
2004,10
2005,7
2006,6
2007,14
2008,0
2009,11
2010,6
2011,5
2012,0
