year,Cesario
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,5
1917,6
1918,6
1919,7
1920,0
1921,10
1922,11
1923,11
1924,13
1925,11
1926,8
1927,12
1928,14
1929,15
1930,16
1931,0
1932,13
1933,0
1934,5
1935,16
1936,7
1937,16
1938,9
1939,10
1940,8
1941,7
1942,6
1943,13
1944,14
1945,16
1946,9
1947,9
1948,10
1949,15
1950,16
1951,13
1952,10
1953,13
1954,9
1955,10
1956,12
1957,5
1958,8
1959,9
1960,9
1961,14
1962,8
1963,15
1964,12
1965,9
1966,12
1967,14
1968,14
1969,10
1970,13
1971,13
1972,13
1973,13
1974,5
1975,15
1976,11
1977,11
1978,14
1979,14
1980,14
1981,9
1982,15
1983,15
1984,11
1985,13
1986,10
1987,7
1988,17
1989,12
1990,13
1991,12
1992,6
1993,16
1994,10
1995,6
1996,9
1997,8
1998,11
1999,13
2000,14
2001,16
2002,9
2003,12
2004,7
2005,5
2006,9
2007,9
2008,9
2009,8
2010,8
2011,5
2012,12
