year,Cathryn
1880,0
1881,0
1882,5
1883,14
1884,9
1885,9
1886,0
1887,8
1888,11
1889,18
1890,8
1891,12
1892,23
1893,13
1894,13
1895,24
1896,30
1897,18
1898,23
1899,19
1900,17
1901,23
1902,18
1903,19
1904,18
1905,26
1906,19
1907,31
1908,40
1909,31
1910,39
1911,47
1912,60
1913,81
1914,102
1915,136
1916,119
1917,142
1918,142
1919,113
1920,118
1921,148
1922,128
1923,132
1924,135
1925,110
1926,114
1927,125
1928,80
1929,97
1930,94
1931,84
1932,78
1933,85
1934,92
1935,85
1936,75
1937,72
1938,72
1939,61
1940,81
1941,94
1942,113
1943,127
1944,122
1945,135
1946,160
1947,248
1948,265
1949,292
1950,320
1951,336
1952,351
1953,321
1954,348
1955,335
1956,367
1957,302
1958,319
1959,272
1960,255
1961,236
1962,212
1963,219
1964,194
1965,168
1966,187
1967,200
1968,165
1969,178
1970,197
1971,174
1972,145
1973,116
1974,104
1975,118
1976,106
1977,126
1978,135
1979,131
1980,134
1981,142
1982,134
1983,157
1984,155
1985,163
1986,160
1987,147
1988,177
1989,154
1990,157
1991,183
1992,152
1993,141
1994,147
1995,144
1996,155
1997,135
1998,107
1999,130
2000,154
2001,124
2002,103
2003,102
2004,107
2005,113
2006,84
2007,91
2008,95
2009,48
2010,59
2011,61
2012,54
