year,Calista
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,7
1895,7
1896,7
1897,5
1898,0
1899,5
1900,5
1901,0
1902,5
1903,5
1904,6
1905,0
1906,0
1907,0
1908,0
1909,7
1910,8
1911,9
1912,11
1913,6
1914,15
1915,17
1916,20
1917,10
1918,19
1919,13
1920,14
1921,15
1922,15
1923,6
1924,14
1925,6
1926,17
1927,9
1928,11
1929,6
1930,13
1931,8
1932,8
1933,0
1934,12
1935,6
1936,12
1937,10
1938,6
1939,8
1940,11
1941,0
1942,7
1943,9
1944,8
1945,8
1946,6
1947,8
1948,18
1949,10
1950,8
1951,11
1952,15
1953,7
1954,6
1955,9
1956,8
1957,10
1958,8
1959,6
1960,9
1961,12
1962,8
1963,8
1964,15
1965,15
1966,8
1967,13
1968,9
1969,13
1970,14
1971,12
1972,16
1973,26
1974,20
1975,18
1976,23
1977,31
1978,28
1979,30
1980,35
1981,29
1982,30
1983,31
1984,32
1985,30
1986,33
1987,27
1988,31
1989,33
1990,39
1991,34
1992,28
1993,25
1994,25
1995,23
1996,26
1997,43
1998,323
1999,490
2000,401
2001,358
2002,304
2003,271
2004,282
2005,223
2006,231
2007,263
2008,206
2009,191
2010,235
2011,208
2012,196
