year,Chassity
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,16
1973,25
1974,24
1975,30
1976,40
1977,32
1978,42
1979,54
1980,62
1981,47
1982,44
1983,54
1984,67
1985,80
1986,62
1987,72
1988,93
1989,75
1990,87
1991,73
1992,86
1993,82
1994,66
1995,49
1996,62
1997,60
1998,57
1999,49
2000,59
2001,71
2002,52
2003,42
2004,36
2005,39
2006,29
2007,46
2008,35
2009,38
2010,27
2011,26
2012,22
