year,Classie
1880,6
1881,0
1882,5
1883,5
1884,0
1885,8
1886,0
1887,9
1888,0
1889,0
1890,0
1891,7
1892,7
1893,19
1894,10
1895,12
1896,7
1897,7
1898,0
1899,7
1900,17
1901,0
1902,15
1903,6
1904,9
1905,5
1906,10
1907,22
1908,20
1909,12
1910,21
1911,14
1912,17
1913,22
1914,23
1915,20
1916,20
1917,28
1918,29
1919,36
1920,23
1921,23
1922,39
1923,30
1924,33
1925,30
1926,32
1927,21
1928,31
1929,29
1930,32
1931,24
1932,20
1933,14
1934,25
1935,28
1936,30
1937,21
1938,19
1939,20
1940,24
1941,24
1942,30
1943,34
1944,28
1945,23
1946,24
1947,20
1948,35
1949,18
1950,16
1951,18
1952,18
1953,17
1954,14
1955,11
1956,11
1957,8
1958,12
1959,6
1960,6
1961,8
1962,7
1963,8
1964,10
1965,14
1966,10
1967,7
1968,5
1969,5
1970,5
1971,7
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,5
1979,7
1980,5
1981,9
1982,7
1983,6
1984,7
1985,13
1986,5
1987,7
1988,8
1989,9
1990,6
1991,5
1992,5
1993,5
1994,0
1995,5
1996,5
1997,6
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
