year,Clarisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,8
1919,0
1920,0
1921,0
1922,6
1923,6
1924,0
1925,0
1926,5
1927,5
1928,0
1929,6
1930,7
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,5
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,5
1947,0
1948,0
1949,0
1950,6
1951,0
1952,5
1953,5
1954,7
1955,10
1956,9
1957,9
1958,16
1959,13
1960,13
1961,9
1962,9
1963,18
1964,15
1965,22
1966,14
1967,13
1968,14
1969,13
1970,19
1971,23
1972,28
1973,30
1974,38
1975,44
1976,45
1977,40
1978,35
1979,31
1980,45
1981,32
1982,53
1983,38
1984,33
1985,39
1986,32
1987,39
1988,39
1989,43
1990,49
1991,51
1992,67
1993,96
1994,323
1995,132
1996,102
1997,90
1998,98
1999,83
2000,77
2001,84
2002,78
2003,76
2004,84
2005,80
2006,63
2007,43
2008,59
2009,43
2010,50
2011,26
2012,39
