year,Cherly
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,11
1945,12
1946,7
1947,11
1948,7
1949,11
1950,7
1951,11
1952,8
1953,9
1954,11
1955,19
1956,19
1957,25
1958,28
1959,18
1960,25
1961,27
1962,43
1963,29
1964,41
1965,32
1966,46
1967,45
1968,35
1969,24
1970,43
1971,33
1972,28
1973,22
1974,17
1975,27
1976,15
1977,11
1978,28
1979,24
1980,15
1981,20
1982,18
1983,14
1984,5
1985,13
1986,12
1987,9
1988,10
1989,8
1990,9
1991,8
1992,10
1993,8
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,5
2011,0
2012,0
