year,Conrado
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,11
1915,13
1916,16
1917,20
1918,21
1919,29
1920,30
1921,17
1922,17
1923,32
1924,29
1925,12
1926,20
1927,21
1928,19
1929,23
1930,16
1931,16
1932,28
1933,13
1934,10
1935,19
1936,24
1937,16
1938,15
1939,15
1940,13
1941,12
1942,18
1943,21
1944,16
1945,24
1946,22
1947,12
1948,24
1949,17
1950,25
1951,24
1952,26
1953,13
1954,14
1955,18
1956,20
1957,13
1958,26
1959,28
1960,19
1961,19
1962,20
1963,30
1964,25
1965,19
1966,19
1967,24
1968,23
1969,15
1970,30
1971,22
1972,21
1973,17
1974,38
1975,32
1976,30
1977,15
1978,33
1979,28
1980,30
1981,35
1982,25
1983,23
1984,24
1985,22
1986,18
1987,28
1988,24
1989,23
1990,27
1991,19
1992,20
1993,27
1994,17
1995,22
1996,26
1997,27
1998,29
1999,20
2000,19
2001,15
2002,14
2003,21
2004,21
2005,18
2006,18
2007,26
2008,15
2009,10
2010,11
2011,15
2012,12
