year,Crista
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,7
1948,0
1949,5
1950,11
1951,9
1952,12
1953,9
1954,14
1955,15
1956,15
1957,15
1958,24
1959,31
1960,27
1961,26
1962,27
1963,42
1964,33
1965,35
1966,37
1967,44
1968,77
1969,73
1970,136
1971,174
1972,145
1973,128
1974,116
1975,110
1976,117
1977,91
1978,99
1979,126
1980,122
1981,108
1982,100
1983,92
1984,108
1985,126
1986,171
1987,100
1988,123
1989,110
1990,87
1991,92
1992,89
1993,96
1994,71
1995,64
1996,66
1997,59
1998,45
1999,59
2000,62
2001,43
2002,48
2003,58
2004,38
2005,37
2006,33
2007,22
2008,29
2009,30
2010,18
2011,27
2012,21
