year,Cherri
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,5
1941,6
1942,14
1943,8
1944,32
1945,18
1946,51
1947,63
1948,73
1949,51
1950,51
1951,77
1952,85
1953,85
1954,110
1955,107
1956,136
1957,148
1958,167
1959,158
1960,188
1961,197
1962,151
1963,121
1964,139
1965,123
1966,128
1967,128
1968,121
1969,116
1970,106
1971,105
1972,79
1973,88
1974,85
1975,86
1976,62
1977,63
1978,57
1979,51
1980,39
1981,42
1982,42
1983,39
1984,28
1985,38
1986,42
1987,26
1988,26
1989,25
1990,14
1991,20
1992,18
1993,13
1994,10
1995,13
1996,8
1997,9
1998,5
1999,6
2000,10
2001,0
2002,8
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,5
2010,0
2011,6
2012,0
