year,Coralee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,5
1900,0
1901,0
1902,0
1903,0
1904,0
1905,9
1906,5
1907,5
1908,0
1909,15
1910,10
1911,12
1912,10
1913,15
1914,13
1915,13
1916,20
1917,11
1918,15
1919,21
1920,21
1921,15
1922,23
1923,15
1924,17
1925,21
1926,22
1927,21
1928,15
1929,18
1930,23
1931,17
1932,21
1933,12
1934,20
1935,23
1936,34
1937,24
1938,35
1939,30
1940,28
1941,34
1942,43
1943,37
1944,33
1945,28
1946,34
1947,37
1948,52
1949,31
1950,23
1951,18
1952,25
1953,23
1954,11
1955,33
1956,21
1957,20
1958,24
1959,28
1960,24
1961,22
1962,16
1963,19
1964,15
1965,12
1966,20
1967,8
1968,11
1969,6
1970,17
1971,13
1972,9
1973,6
1974,16
1975,9
1976,7
1977,9
1978,10
1979,7
1980,9
1981,8
1982,15
1983,5
1984,8
1985,12
1986,8
1987,9
1988,14
1989,9
1990,9
1991,9
1992,9
1993,17
1994,11
1995,6
1996,6
1997,12
1998,10
1999,9
2000,15
2001,12
2002,14
2003,7
2004,11
2005,14
2006,20
2007,16
2008,21
2009,19
2010,29
2011,39
2012,39
