year,Chauncey (F),Chauncey (M)
1880,0.000000,0.000159
1881,0.000000,0.000135
1882,0.000000,0.000077
1883,0.000000,0.000138
1884,0.000000,0.000086
1885,0.000000,0.000104
1886,0.000000,0.000082
1887,0.000000,0.000113
1888,0.000000,0.000080
1889,0.000000,0.000100
1890,0.000000,0.000123
1891,0.000000,0.000094
1892,0.000000,0.000114
1893,0.000000,0.000071
1894,0.000000,0.000083
1895,0.000000,0.000083
1896,0.000000,0.000056
1897,0.000000,0.000058
1898,0.000000,0.000055
1899,0.000000,0.000053
1900,0.000000,0.000049
1901,0.000000,0.000035
1902,0.000000,0.000057
1903,0.000000,0.000060
1904,0.000000,0.000055
1905,0.000000,0.000040
1906,0.000000,0.000040
1907,0.000000,0.000030
1908,0.000000,0.000027
1909,0.000000,0.000031
1910,0.000000,0.000054
1911,0.000000,0.000026
1912,0.000000,0.000045
1913,0.000000,0.000037
1914,0.000000,0.000039
1915,0.000000,0.000038
1916,0.000000,0.000035
1917,0.000003,0.000038
1918,0.000000,0.000035
1919,0.000000,0.000032
1920,0.000000,0.000032
1921,0.000000,0.000036
1922,0.000000,0.000036
1923,0.000000,0.000030
1924,0.000000,0.000028
1925,0.000000,0.000028
1926,0.000000,0.000030
1927,0.000000,0.000027
1928,0.000000,0.000026
1929,0.000000,0.000023
1930,0.000000,0.000028
1931,0.000000,0.000026
1932,0.000000,0.000031
1933,0.000000,0.000025
1934,0.000000,0.000018
1935,0.000000,0.000025
1936,0.000000,0.000022
1937,0.000000,0.000020
1938,0.000000,0.000020
1939,0.000000,0.000017
1940,0.000000,0.000013
1941,0.000000,0.000016
1942,0.000000,0.000019
1943,0.000000,0.000010
1944,0.000000,0.000012
1945,0.000000,0.000015
1946,0.000000,0.000013
1947,0.000000,0.000012
1948,0.000000,0.000012
1949,0.000000,0.000013
1950,0.000000,0.000014
1951,0.000000,0.000018
1952,0.000001,0.000013
1953,0.000000,0.000016
1954,0.000000,0.000018
1955,0.000000,0.000017
1956,0.000000,0.000012
1957,0.000001,0.000015
1958,0.000001,0.000017
1959,0.000000,0.000015
1960,0.000000,0.000014
1961,0.000000,0.000020
1962,0.000001,0.000019
1963,0.000000,0.000021
1964,0.000000,0.000019
1965,0.000000,0.000017
1966,0.000001,0.000022
1967,0.000002,0.000019
1968,0.000000,0.000026
1969,0.000002,0.000020
1970,0.000002,0.000027
1971,0.000001,0.000022
1972,0.000002,0.000026
1973,0.000002,0.000031
1974,0.000003,0.000037
1975,0.000003,0.000040
1976,0.000003,0.000027
1977,0.000003,0.000035
1978,0.000004,0.000050
1979,0.000003,0.000045
1980,0.000004,0.000046
1981,0.000004,0.000050
1982,0.000006,0.000045
1983,0.000003,0.000042
1984,0.000005,0.000042
1985,0.000004,0.000035
1986,0.000005,0.000036
1987,0.000004,0.000034
1988,0.000005,0.000033
1989,0.000006,0.000034
1990,0.000006,0.000030
1991,0.000004,0.000025
1992,0.000007,0.000028
1993,0.000005,0.000024
1994,0.000006,0.000030
1995,0.000001,0.000031
1996,0.000003,0.000032
1997,0.000003,0.000041
1998,0.000003,0.000040
1999,0.000002,0.000029
2000,0.000000,0.000028
2001,0.000003,0.000027
2002,0.000002,0.000021
2003,0.000002,0.000026
2004,0.000002,0.000032
2005,0.000000,0.000032
2006,0.000000,0.000028
2007,0.000001,0.000028
2008,0.000001,0.000028
2009,0.000000,0.000025
2010,0.000000,0.000023
2011,0.000000,0.000024
2012,0.000000,0.000018
