year,Claudina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,10
1915,10
1916,0
1917,6
1918,6
1919,9
1920,5
1921,10
1922,6
1923,11
1924,12
1925,8
1926,11
1927,10
1928,13
1929,8
1930,9
1931,6
1932,9
1933,5
1934,10
1935,12
1936,10
1937,9
1938,15
1939,9
1940,0
1941,8
1942,10
1943,0
1944,0
1945,6
1946,12
1947,6
1948,5
1949,9
1950,5
1951,0
1952,5
1953,0
1954,9
1955,6
1956,7
1957,6
1958,5
1959,9
1960,6
1961,5
1962,5
1963,6
1964,8
1965,9
1966,9
1967,10
1968,10
1969,17
1970,9
1971,14
1972,6
1973,0
1974,7
1975,8
1976,7
1977,6
1978,0
1979,5
1980,6
1981,0
1982,7
1983,0
1984,0
1985,6
1986,0
1987,5
1988,0
1989,0
1990,6
1991,5
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
