year,Corrina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,5
1920,5
1921,0
1922,6
1923,6
1924,0
1925,5
1926,5
1927,0
1928,0
1929,6
1930,0
1931,5
1932,6
1933,8
1934,13
1935,7
1936,7
1937,0
1938,7
1939,0
1940,7
1941,0
1942,6
1943,5
1944,9
1945,0
1946,5
1947,5
1948,6
1949,6
1950,9
1951,5
1952,6
1953,0
1954,7
1955,0
1956,24
1957,16
1958,11
1959,15
1960,24
1961,111
1962,93
1963,80
1964,80
1965,90
1966,76
1967,94
1968,117
1969,122
1970,104
1971,131
1972,119
1973,119
1974,135
1975,112
1976,121
1977,107
1978,109
1979,95
1980,107
1981,88
1982,98
1983,82
1984,79
1985,76
1986,89
1987,88
1988,94
1989,102
1990,114
1991,124
1992,101
1993,83
1994,154
1995,190
1996,160
1997,119
1998,147
1999,139
2000,104
2001,86
2002,96
2003,86
2004,66
2005,75
2006,60
2007,54
2008,61
2009,62
2010,50
2011,48
2012,59
