year,Cort
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,5
1945,0
1946,8
1947,9
1948,5
1949,8
1950,6
1951,15
1952,29
1953,17
1954,16
1955,13
1956,22
1957,13
1958,19
1959,17
1960,17
1961,27
1962,45
1963,23
1964,21
1965,32
1966,23
1967,12
1968,17
1969,18
1970,14
1971,16
1972,15
1973,20
1974,11
1975,8
1976,12
1977,26
1978,19
1979,11
1980,19
1981,10
1982,14
1983,14
1984,11
1985,9
1986,12
1987,17
1988,30
1989,20
1990,30
1991,24
1992,27
1993,39
1994,21
1995,32
1996,34
1997,19
1998,26
1999,37
2000,53
2001,43
2002,51
2003,50
2004,39
2005,45
2006,34
2007,46
2008,43
2009,41
2010,33
2011,57
2012,40
