year,Charleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,7
1913,7
1914,14
1915,12
1916,18
1917,16
1918,31
1919,22
1920,31
1921,47
1922,25
1923,43
1924,48
1925,52
1926,58
1927,70
1928,88
1929,81
1930,84
1931,66
1932,80
1933,86
1934,98
1935,103
1936,93
1937,119
1938,99
1939,107
1940,121
1941,139
1942,146
1943,169
1944,154
1945,160
1946,146
1947,231
1948,180
1949,209
1950,188
1951,174
1952,171
1953,171
1954,151
1955,130
1956,114
1957,122
1958,126
1959,101
1960,112
1961,104
1962,112
1963,91
1964,119
1965,118
1966,97
1967,89
1968,96
1969,93
1970,108
1971,73
1972,87
1973,66
1974,59
1975,47
1976,50
1977,52
1978,55
1979,46
1980,59
1981,47
1982,46
1983,44
1984,37
1985,50
1986,38
1987,32
1988,45
1989,49
1990,38
1991,33
1992,30
1993,36
1994,38
1995,26
1996,8
1997,21
1998,19
1999,19
2000,12
2001,12
2002,14
2003,15
2004,20
2005,23
2006,14
2007,8
2008,14
2009,15
2010,18
2011,13
2012,13
