year,Clearence
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,7
1908,0
1909,8
1910,0
1911,6
1912,6
1913,7
1914,14
1915,11
1916,19
1917,23
1918,22
1919,24
1920,23
1921,36
1922,34
1923,27
1924,47
1925,32
1926,34
1927,58
1928,55
1929,47
1930,44
1931,34
1932,46
1933,39
1934,35
1935,30
1936,28
1937,23
1938,32
1939,33
1940,32
1941,25
1942,45
1943,27
1944,27
1945,31
1946,24
1947,22
1948,19
1949,28
1950,20
1951,15
1952,17
1953,19
1954,14
1955,9
1956,12
1957,16
1958,15
1959,12
1960,11
1961,11
1962,12
1963,7
1964,0
1965,5
1966,9
1967,7
1968,0
1969,7
1970,9
1971,8
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,6
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
