year,Cory (F),Cory (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000003
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000002,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000002
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000002
1942,0.000000,0.000005
1943,0.000000,0.000005
1944,0.000002,0.000006
1945,0.000003,0.000012
1946,0.000000,0.000005
1947,0.000003,0.000007
1948,0.000004,0.000008
1949,0.000005,0.000007
1950,0.000004,0.000014
1951,0.000005,0.000017
1952,0.000004,0.000012
1953,0.000005,0.000016
1954,0.000006,0.000035
1955,0.000009,0.000052
1956,0.000008,0.000045
1957,0.000012,0.000067
1958,0.000015,0.000069
1959,0.000015,0.000075
1960,0.000017,0.000085
1961,0.000017,0.000108
1962,0.000019,0.000109
1963,0.000018,0.000100
1964,0.000014,0.000111
1965,0.000011,0.000124
1966,0.000010,0.000127
1967,0.000014,0.000130
1968,0.000018,0.000212
1969,0.000026,0.000513
1970,0.000029,0.000489
1971,0.000030,0.000579
1972,0.000046,0.000623
1973,0.000053,0.000674
1974,0.000058,0.000766
1975,0.000074,0.000851
1976,0.000080,0.001050
1977,0.000086,0.001340
1978,0.000089,0.001212
1979,0.000072,0.001079
1980,0.000062,0.001032
1981,0.000062,0.000971
1982,0.000050,0.000923
1983,0.000053,0.000982
1984,0.000062,0.001005
1985,0.000052,0.001084
1986,0.000072,0.001370
1987,0.000058,0.001623
1988,0.000056,0.001697
1989,0.000055,0.001679
1990,0.000049,0.001459
1991,0.000041,0.001315
1992,0.000044,0.001155
1993,0.000036,0.001060
1994,0.000029,0.000949
1995,0.000027,0.000823
1996,0.000021,0.000671
1997,0.000019,0.000575
1998,0.000015,0.000564
1999,0.000015,0.000461
2000,0.000009,0.000396
2001,0.000009,0.000338
2002,0.000008,0.000299
2003,0.000007,0.000243
2004,0.000004,0.000214
2005,0.000005,0.000201
2006,0.000005,0.000165
2007,0.000006,0.000177
2008,0.000006,0.000154
2009,0.000004,0.000142
2010,0.000005,0.000118
2011,0.000004,0.000099
2012,0.000004,0.000101
2013,0.000004,0.000103
