year,Catharine
1880,28
1881,40
1882,43
1883,52
1884,42
1885,56
1886,50
1887,38
1888,66
1889,63
1890,53
1891,53
1892,57
1893,80
1894,71
1895,89
1896,98
1897,100
1898,105
1899,95
1900,104
1901,88
1902,103
1903,101
1904,108
1905,135
1906,114
1907,118
1908,123
1909,123
1910,139
1911,131
1912,183
1913,187
1914,199
1915,281
1916,267
1917,263
1918,236
1919,200
1920,205
1921,208
1922,213
1923,188
1924,166
1925,175
1926,134
1927,118
1928,126
1929,110
1930,108
1931,93
1932,104
1933,79
1934,75
1935,81
1936,89
1937,62
1938,84
1939,69
1940,71
1941,89
1942,102
1943,91
1944,98
1945,90
1946,111
1947,131
1948,109
1949,119
1950,142
1951,155
1952,136
1953,128
1954,140
1955,141
1956,135
1957,134
1958,145
1959,129
1960,104
1961,125
1962,116
1963,134
1964,121
1965,93
1966,109
1967,77
1968,86
1969,109
1970,109
1971,79
1972,79
1973,64
1974,75
1975,94
1976,72
1977,69
1978,75
1979,61
1980,66
1981,75
1982,77
1983,80
1984,69
1985,74
1986,67
1987,64
1988,65
1989,68
1990,84
1991,61
1992,65
1993,43
1994,56
1995,47
1996,48
1997,54
1998,43
1999,49
2000,45
2001,45
2002,31
2003,41
2004,36
2005,30
2006,31
2007,31
2008,28
2009,18
2010,22
2011,19
2012,11
