year,Conchita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,0
1914,8
1915,11
1916,0
1917,13
1918,12
1919,15
1920,16
1921,15
1922,6
1923,16
1924,11
1925,16
1926,20
1927,22
1928,16
1929,19
1930,17
1931,33
1932,22
1933,30
1934,22
1935,23
1936,24
1937,28
1938,29
1939,20
1940,20
1941,30
1942,21
1943,27
1944,24
1945,18
1946,29
1947,31
1948,24
1949,28
1950,23
1951,22
1952,23
1953,33
1954,29
1955,22
1956,29
1957,15
1958,21
1959,22
1960,31
1961,32
1962,40
1963,19
1964,18
1965,16
1966,14
1967,14
1968,24
1969,9
1970,21
1971,16
1972,12
1973,11
1974,10
1975,10
1976,14
1977,17
1978,12
1979,17
1980,15
1981,10
1982,5
1983,6
1984,6
1985,9
1986,0
1987,8
1988,5
1989,6
1990,18
1991,13
1992,9
1993,8
1994,5
1995,7
1996,7
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,6
2004,5
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
