year,Cedric (F),Cedric (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000028
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000020
1897,0.000000,0.000023
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000018
1904,0.000000,0.000020
1905,0.000000,0.000012
1906,0.000000,0.000019
1907,0.000000,0.000015
1908,0.000000,0.000027
1909,0.000000,0.000025
1910,0.000000,0.000008
1911,0.000000,0.000026
1912,0.000000,0.000037
1913,0.000000,0.000039
1914,0.000000,0.000036
1915,0.000000,0.000031
1916,0.000000,0.000020
1917,0.000000,0.000020
1918,0.000000,0.000025
1919,0.000000,0.000024
1920,0.000000,0.000026
1921,0.000000,0.000025
1922,0.000000,0.000018
1923,0.000000,0.000014
1924,0.000000,0.000018
1925,0.000000,0.000015
1926,0.000000,0.000018
1927,0.000000,0.000022
1928,0.000000,0.000015
1929,0.000000,0.000021
1930,0.000000,0.000025
1931,0.000000,0.000021
1932,0.000000,0.000014
1933,0.000000,0.000019
1934,0.000000,0.000020
1935,0.000000,0.000020
1936,0.000000,0.000021
1937,0.000000,0.000026
1938,0.000000,0.000016
1939,0.000000,0.000021
1940,0.000000,0.000020
1941,0.000000,0.000026
1942,0.000000,0.000019
1943,0.000000,0.000021
1944,0.000000,0.000018
1945,0.000000,0.000020
1946,0.000002,0.000020
1947,0.000000,0.000020
1948,0.000000,0.000020
1949,0.000000,0.000028
1950,0.000000,0.000038
1951,0.000000,0.000042
1952,0.000000,0.000041
1953,0.000000,0.000053
1954,0.000000,0.000056
1955,0.000000,0.000063
1956,0.000002,0.000068
1957,0.000001,0.000095
1958,0.000000,0.000098
1959,0.000000,0.000125
1960,0.000002,0.000128
1961,0.000002,0.000154
1962,0.000000,0.000172
1963,0.000000,0.000175
1964,0.000002,0.000191
1965,0.000002,0.000194
1966,0.000002,0.000209
1967,0.000002,0.000211
1968,0.000001,0.000204
1969,0.000004,0.000202
1970,0.000004,0.000244
1971,0.000003,0.000251
1972,0.000005,0.000285
1973,0.000003,0.000292
1974,0.000003,0.000296
1975,0.000004,0.000288
1976,0.000005,0.000284
1977,0.000003,0.000284
1978,0.000004,0.000250
1979,0.000003,0.000249
1980,0.000001,0.000263
1981,0.000002,0.000263
1982,0.000003,0.000278
1983,0.000003,0.000232
1984,0.000002,0.000253
1985,0.000002,0.000236
1986,0.000003,0.000199
1987,0.000002,0.000188
1988,0.000001,0.000173
1989,0.000001,0.000167
1990,0.000000,0.000155
1991,0.000000,0.000154
1992,0.000000,0.000144
1993,0.000000,0.000156
1994,0.000000,0.000147
1995,0.000000,0.000157
1996,0.000000,0.000162
1997,0.000000,0.000158
1998,0.000000,0.000150
1999,0.000000,0.000129
2000,0.000000,0.000135
2001,0.000000,0.000139
2002,0.000000,0.000129
2003,0.000000,0.000112
2004,0.000000,0.000101
2005,0.000000,0.000099
2006,0.000000,0.000105
2007,0.000000,0.000107
2008,0.000000,0.000095
2009,0.000000,0.000089
2010,0.000000,0.000086
2011,0.000000,0.000082
2012,0.000000,0.000083
2013,0.000000,0.000073
