year,Carolanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,11
1937,7
1938,10
1939,14
1940,9
1941,15
1942,17
1943,23
1944,24
1945,20
1946,23
1947,26
1948,18
1949,21
1950,14
1951,16
1952,10
1953,12
1954,10
1955,12
1956,12
1957,21
1958,10
1959,17
1960,14
1961,24
1962,16
1963,18
1964,22
1965,18
1966,10
1967,22
1968,20
1969,11
1970,12
1971,10
1972,6
1973,6
1974,11
1975,5
1976,0
1977,0
1978,6
1979,0
1980,7
1981,0
1982,7
1983,11
1984,13
1985,18
1986,22
1987,23
1988,22
1989,30
1990,20
1991,27
1992,21
1993,25
1994,25
1995,22
1996,27
1997,22
1998,17
1999,23
2000,16
2001,17
2002,12
2003,16
2004,13
2005,12
2006,16
2007,12
2008,7
2009,12
2010,7
2011,8
2012,6
