year,Christofer
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,7
1952,13
1953,6
1954,9
1955,6
1956,8
1957,9
1958,8
1959,8
1960,14
1961,14
1962,11
1963,16
1964,14
1965,20
1966,14
1967,15
1968,21
1969,26
1970,39
1971,45
1972,53
1973,42
1974,49
1975,55
1976,44
1977,46
1978,47
1979,69
1980,43
1981,50
1982,65
1983,59
1984,73
1985,62
1986,66
1987,57
1988,79
1989,79
1990,93
1991,66
1992,88
1993,72
1994,78
1995,71
1996,77
1997,72
1998,94
1999,73
2000,85
2001,88
2002,79
2003,83
2004,81
2005,113
2006,118
2007,136
2008,121
2009,103
2010,95
2011,78
2012,82
