year,Cristine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,7
1921,6
1922,5
1923,7
1924,7
1925,7
1926,0
1927,7
1928,5
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,7
1940,0
1941,0
1942,7
1943,11
1944,18
1945,15
1946,26
1947,35
1948,38
1949,55
1950,70
1951,84
1952,83
1953,53
1954,40
1955,48
1956,43
1957,45
1958,59
1959,44
1960,50
1961,46
1962,55
1963,83
1964,91
1965,112
1966,89
1967,108
1968,110
1969,120
1970,118
1971,99
1972,95
1973,94
1974,90
1975,61
1976,70
1977,72
1978,78
1979,64
1980,64
1981,82
1982,76
1983,69
1984,72
1985,82
1986,79
1987,67
1988,81
1989,74
1990,99
1991,93
1992,55
1993,53
1994,45
1995,35
1996,42
1997,34
1998,26
1999,18
2000,30
2001,19
2002,19
2003,25
2004,38
2005,18
2006,15
2007,12
2008,19
2009,16
2010,8
2011,10
2012,8
