year,Cheryll
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,0
1938,10
1939,7
1940,10
1941,11
1942,11
1943,41
1944,69
1945,98
1946,120
1947,115
1948,99
1949,88
1950,86
1951,99
1952,103
1953,105
1954,95
1955,162
1956,143
1957,120
1958,111
1959,114
1960,69
1961,74
1962,73
1963,58
1964,57
1965,51
1966,48
1967,39
1968,41
1969,31
1970,30
1971,30
1972,25
1973,18
1974,19
1975,14
1976,12
1977,8
1978,14
1979,19
1980,0
1981,13
1982,9
1983,9
1984,12
1985,6
1986,7
1987,6
1988,6
1989,8
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
