year,Casimiro
1880,0
1881,6
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,10
1913,0
1914,10
1915,13
1916,10
1917,9
1918,12
1919,14
1920,13
1921,28
1922,14
1923,13
1924,16
1925,12
1926,22
1927,13
1928,18
1929,21
1930,16
1931,18
1932,0
1933,11
1934,12
1935,11
1936,9
1937,20
1938,5
1939,11
1940,8
1941,12
1942,8
1943,7
1944,7
1945,6
1946,10
1947,18
1948,13
1949,7
1950,8
1951,12
1952,10
1953,19
1954,13
1955,8
1956,14
1957,13
1958,7
1959,11
1960,6
1961,10
1962,8
1963,10
1964,11
1965,8
1966,15
1967,13
1968,10
1969,6
1970,9
1971,13
1972,6
1973,15
1974,11
1975,13
1976,13
1977,6
1978,9
1979,9
1980,6
1981,9
1982,10
1983,9
1984,10
1985,16
1986,11
1987,12
1988,7
1989,13
1990,7
1991,10
1992,10
1993,9
1994,6
1995,9
1996,10
1997,0
1998,7
1999,5
2000,12
2001,10
2002,6
2003,8
2004,10
2005,8
2006,6
2007,0
2008,5
2009,9
2010,0
2011,0
2012,0
