year,Cornelious
1880,10
1881,9
1882,11
1883,8
1884,9
1885,7
1886,14
1887,7
1888,6
1889,0
1890,8
1891,6
1892,0
1893,10
1894,5
1895,5
1896,10
1897,0
1898,5
1899,6
1900,0
1901,7
1902,7
1903,5
1904,13
1905,0
1906,7
1907,7
1908,12
1909,6
1910,18
1911,7
1912,19
1913,16
1914,22
1915,43
1916,27
1917,28
1918,32
1919,50
1920,43
1921,47
1922,34
1923,39
1924,34
1925,34
1926,39
1927,32
1928,47
1929,37
1930,30
1931,32
1932,34
1933,30
1934,37
1935,27
1936,24
1937,31
1938,27
1939,35
1940,20
1941,22
1942,24
1943,30
1944,22
1945,27
1946,22
1947,24
1948,30
1949,32
1950,34
1951,32
1952,40
1953,33
1954,23
1955,33
1956,23
1957,30
1958,18
1959,18
1960,29
1961,18
1962,18
1963,17
1964,15
1965,29
1966,10
1967,18
1968,21
1969,14
1970,22
1971,19
1972,29
1973,26
1974,18
1975,13
1976,24
1977,25
1978,19
1979,20
1980,27
1981,18
1982,12
1983,27
1984,13
1985,12
1986,21
1987,19
1988,13
1989,15
1990,18
1991,21
1992,20
1993,9
1994,13
1995,12
1996,7
1997,18
1998,11
1999,15
2000,13
2001,13
2002,14
2003,11
2004,7
2005,7
2006,10
2007,11
2008,5
2009,13
2010,7
2011,15
2012,9
